,Unnamed: 0,timestamp,hr_time,temp_c,hum_prcnt,press_hpa,ozone_ppm,ozone_volt_mv,co_ppm,co_mv,no2_ppb,no2_mv,tvoc_ppb,mc2p5_ugpm3,mc1p0_ugpm3,mc4p0_ugpm3,mc10p0_ugpm3,nc0p5_npcm3,nc1p0_npcm3,nc2p5_npcm3,nc4p0_npcm3,nc10p0_npcm3,typ_pm_um,x_g,y_g,z_g,x_raw,y_raw,z_raw,eq_db,onesmin_db,onesmax_db,lux_lx,uv_mwpm2,batt_volt,batt_prcnt,si1133_int,lis3dh_int,sgpc3_int,batt_int,speco3_int,sps30_int,sps30pre_int,mic4514_int,mic4514pre_int,mic_int,bme280_int,leds_on,code_version,receivedTimestamp,key,lat,lon,acc,co-ug,no2-ug,o3-ug,co-mg,bc-proxy,ldsa-proxy,newaqi,dosage-male-walking-low,dosage-male-walking-high,dosage-female-walking-low,dosage-female-walking-high,accbin,date
211826,211826,1631715409698,2021-09-15 14:16:49,32.529998779296875,48.2869987487793,939.113525390625,0,1689,818,2788,1557,931,0,1186.5194091796875,1122.043701171875,1186.5194091796875,1186.5194091796875,7866.29931640625,8934.296875,8954.8564453125,8958.1552734375,8960.0556640625,0.4890592098236084,0.0160130113363266,0.0,-0.0320260226726532,256,0,65024,38.97966766357422,38.5102424621582,39.371742248535156,32.986083984375,0.532958984375,4201,100,30,30,30,30,30,30,30,30,120,30,30,1,1,1631715095227,E3-CB-F6-CA-1D-C5,17.4453301,78.3498561,15.156000137329102,628.5600661003111,49.48112558135986,44.332137324142465,0.6285600661003111,3.7619463543230816,0.0,184.6,327.47935693359375,818.6983923339842,284.764658203125,711.9116455078125,1,2021-09-15 14:16:49
211829,211829,1631715440710,2021-09-15 14:17:20,32.540000915527344,48.25,939.0675048828124,0,1881,819,2796,1560,936,0,1183.90966796875,1119.57568359375,1183.90966796875,1183.90966796875,7848.99755859375,8914.646484375,8935.16015625,8938.451171875,8940.34765625,0.4625144004821777,0.0640520453453064,-0.0160130113363266,0.0,1024,65280,0,39.02142333984375,38.46776580810547,39.70565414428711,32.892333984375,0.341552734375,4221,100,30,30,30,30,30,30,30,30,120,30,30,1,1,1631715126672,E3-CB-F6-CA-1D-C5,17.4453301,78.3498561,15.156000137329102,629.3201435812377,49.57676800384522,44.32815255432129,0.6293201435812378,3.7631263259575856,0.0,184.5,326.759068359375,816.8976708984375,284.1383203125,710.34580078125,1,2021-09-15 14:17:20
211833,211833,1631715471713,2021-09-15 14:17:51,32.529998779296875,48.249000549316406,939.1267700195312,0,1751,818,2797,1557,929,0,1193.4801025390625,1128.6260986328125,1193.4801025390625,1193.4801025390625,7912.44677734375,8986.7099609375,9007.3896484375,9010.7080078125,9012.619140625,0.4859923124313354,0.0,-0.0160130113363266,-0.096078060567379,0,65280,64000,38.98323822021485,38.59062576293945,39.47737884521485,32.986083984375,0.062744140625,4222,100,30,30,30,30,30,30,30,30,120,30,30,1,1,1631715157229,E3-CB-F6-CA-1D-C5,17.4453301,78.3498561,15.156000137329102,628.523075613098,49.480715200805676,44.33304548110962,0.628523075613098,3.7688768705646716,0.0,184.8,329.40050830078115,823.5012707519529,286.435224609375,716.0880615234373,1,2021-09-15 14:17:51
211836,211836,1631715502718,2021-09-15 14:18:22,32.540000915527344,48.25,939.1121215820312,0,1756,817,2790,1546,930,0,1188.057373046875,1123.498046875,1188.057373046875,1188.057373046875,7876.4951171875,8945.8779296875,8966.4638671875,8969.7666015625,8971.6689453125,0.4913685321807861,-0.0160130113363266,-0.0480390302836895,-0.0480390302836895,65280,64768,64768,38.95700073242188,38.50698852539063,39.35958480834961,33.017333984375,0.722412109375,4219,100,30,30,30,30,30,30,30,30,120,30,30,1,1,1631715188198,E3-CB-F6-CA-1D-C5,17.4453301,78.3498561,15.156000137329102,627.7188035812377,49.12876800384522,44.32815255432129,0.6277188035812377,3.7519580564091433,0.0,184.6,327.9038349609375,819.7595874023436,285.13376953125,712.834423828125,1,2021-09-15 14:18:22
211839,211839,1631715533733,2021-09-15 14:18:53,32.540000915527344,48.23899841308594,939.07568359375,0,1719,820,2794,1550,930,0,1173.6209716796875,1109.8460693359377,1173.6209716796875,1173.6209716796875,7780.7861328125,8837.173828125,8857.509765625,8860.7724609375,8862.65234375,0.506200909614563,-0.0320260226726532,0.0,-0.0640520453453064,65024,0,64512,39.00395965576172,38.59931564331055,39.3472900390625,32.861083984375,0.6240234375,4204,100,30,30,30,30,30,30,30,30,120,30,30,1,1,1631715219184,E3-CB-F6-CA-1D-C5,17.4453301,78.3498561,15.156000137329102,630.1101037564086,49.25664918670654,44.32841549224854,0.6301101037564086,3.7418870741381913,0.0,184.2,323.91938818359375,809.7984704589842,281.669033203125,704.1725830078125,1,2021-09-15 14:18:53
211842,211842,1631715564936,2021-09-15 14:19:24,32.540000915527344,48.26399993896485,939.1160278320312,0,1956,816,2788,1535,938,0,1177.479736328125,1113.4952392578123,1177.479736328125,1177.479736328125,7806.36865234375,8866.23046875,8886.6328125,8889.90625,8891.7919921875,0.4858295917510986,0.0320260226726532,0.0,-0.0640520453453064,512,0,64512,38.993072509765625,38.42697143554688,39.31592559814453,32.861083984375,0.318115234375,4214,100,30,30,30,30,30,30,30,30,120,30,30,1,1,1631715250398,E3-CB-F6-CA-1D-C5,17.4453301,78.3498561,15.156000137329102,626.9317622418212,48.77691920318603,44.32781795578003,0.6269317622418211,3.7293411546533513,0.0,184.3,324.9844072265625,812.4610180664063,282.59513671875,706.4878417968748,1,2021-09-15 14:19:24
211845,211845,1631715595930,2021-09-15 14:19:55,32.540000915527344,48.2750015258789,939.0985717773438,0,1790,817,2788,1535,932,0,1188.363037109375,1123.7869873046877,1188.363037109375,1188.363037109375,7878.521484375,8948.1787109375,8968.7705078125,8972.07421875,8973.9775390625,0.4832788705825806,-0.0480390302836895,0.0,0.096078060567379,64768,0,1536,38.92324447631836,38.43646240234375,39.57054138183594,33.017333984375,0.691162109375,4223,100,30,30,30,30,30,30,30,30,120,30,30,1,1,1631715281423,E3-CB-F6-CA-1D-C5,17.4453301,78.3498561,15.156000137329102,627.7431420666502,48.77703802032472,44.32755501785278,0.6277431420666503,3.740179372671398,0.0,184.7,327.9881982421876,819.9704956054687,285.2071289062501,713.017822265625,1,2021-09-15 14:19:55
211848,211848,1631715627131,2021-09-15 14:20:27,32.549999237060554,48.26399993896485,939.09130859375,0,1830,819,2789,1528,927,0,1180.1514892578125,1116.0218505859377,1180.1514892578125,1180.1514892578125,7824.08203125,8886.34765625,8906.796875,8910.078125,8911.9677734375,0.496206521987915,0.0320260226726532,0.0,0.0320260226726532,512,0,512,38.96519470214844,38.4111328125,39.52268600463867,32.954833984375,0.7578125,4217,100,30,30,30,30,30,30,30,30,120,30,30,1,1,1631715312833,E3-CB-F6-CA-1D-C5,17.4453301,78.3498561,15.156000137329102,629.3291990095519,48.552961196136465,44.32295077285767,0.6293291990095519,3.724830397094004,0.0,184.4,325.72181103515624,814.3045275878907,283.2363574218749,708.0908935546875,1,2021-09-15 14:20:27
211851,211851,1631715657938,2021-09-15 14:20:57,32.549999237060554,48.2760009765625,939.08349609375,0,1861,817,2788,1525,924,0,1182.7955322265625,1118.5220947265623,1182.7955322265625,1182.7955322265625,7841.611328125,8906.2568359375,8926.751953125,8930.0400390625,8931.9345703125,0.5102968215942383,-0.0320260226726532,0.0160130113363266,0.0160130113363266,65024,256,256,39.01598358154297,38.696197509765625,39.435882568359375,33.236083984375,0.41796875,4202,100,30,30,30,30,30,30,30,30,120,30,30,1,1,1631715343500,E3-CB-F6-CA-1D-C5,17.4453301,78.3498561,15.156000137329102,627.7395417796325,48.45709080734253,44.322663948059095,0.6277395417796325,3.724153892908551,0.0,184.5,326.45156689453125,816.1289172363281,283.870927734375,709.6773193359375,1,2021-09-15 14:20:57
211854,211854,1631715688945,2021-09-15 14:21:28,32.540000915527344,48.2509994506836,939.07958984375,0,1858,817,2790,1514,928,0,1171.0364990234375,1107.402099609375,1171.0364990234375,1171.0364990234375,7763.65185546875,8817.7138671875,8838.0048828125,8841.259765625,8843.1357421875,0.4719854593276978,0.0480390302836895,-0.0640520453453064,-0.0640520453453064,768,64512,64512,39.08910369873047,38.71727752685547,39.43656539916992,33.017333984375,0.37109375,4208,100,30,30,30,30,30,30,30,30,120,30,30,1,1,1631715374475,E3-CB-F6-CA-1D-C5,17.4453301,78.3498561,15.156000137329102,627.7197765264891,48.104778797912594,44.32812866744995,0.6277197765264891,3.699777563276384,0.0,184.1,323.20607373046874,808.0151843261717,281.048759765625,702.6218994140625,1,2021-09-15 14:21:28
211858,211858,1631715719950,2021-09-15 14:21:59,32.549999237060554,48.2509994506836,939.1237182617188,0,1925,814,2789,1521,922,0,1114.328857421875,1053.77587890625,1114.328857421875,1114.328857421875,7387.6953125,8390.7138671875,8410.0224609375,8413.1201171875,8414.9052734375,0.4980159997940064,-0.0160130113363266,0.0480390302836895,-0.0640520453453064,65280,768,64512,39.485389709472656,38.5291633605957,46.575050354003906,32.954833984375,0.2333984375,4212,100,30,30,30,30,30,30,30,30,120,30,30,1,1,1631715405419,E3-CB-F6-CA-1D-C5,17.4453301,78.3498561,15.156000137329102,625.3131932942199,48.328820790863034,44.3232614845276,0.6253131932942199,3.6504446699596316,0.0,182.4,307.5547646484375,768.8869116210936,267.43892578125,668.597314453125,1,2021-09-15 14:21:59
211861,211861,1631715750954,2021-09-15 14:22:30,32.540000915527344,48.26399993896485,939.1600952148438,0,1838,815,2782,1510,923,0,1158.549072265625,1072.8973388671877,1153.36767578125,1153.36767578125,7521.75,8542.96875,8562.6279296875,8565.78125,8567.5986328125,0.4850503206253052,-0.0320260226726532,-0.0320260226726532,0.096078060567379,65024,65024,1536,39.07358169555664,38.423423767089844,42.82951736450195,32.986083984375,0.462646484375,4218,100,30,30,30,30,30,30,30,30,120,30,30,1,1,1631715436664,E3-CB-F6-CA-1D-C5,17.4453301,78.3498561,15.156000137329102,626.1310922418212,47.976919203186036,44.32781795578003,0.6261310922418212,3.6828896842150622,0.0,183.7,319.7595439453125,799.3988598632811,278.05177734375,695.1294433593748,1,2021-09-15 14:22:30
211864,211864,1631715781959,2021-09-15 14:23:01,32.540000915527344,48.2509994506836,939.142822265625,0,1758,816,2788,1503,917,0,1152.72216796875,1090.0830078125,1152.72216796875,1152.72216796875,7642.23291015625,8679.8095703125,8699.783203125,8702.98828125,8704.833984375,0.5110474824905396,0.0320260226726532,0.0,-0.1441171020269394,512,0,63232,38.922630310058594,38.523529052734375,39.88535690307617,32.798583984375,0.2177734375,4214,100,30,30,30,30,30,30,30,30,120,30,30,1,1,1631715467522,E3-CB-F6-CA-1D-C5,17.4453301,78.3498561,15.156000137329102,626.9191065264891,47.752778797912605,44.32812866744995,0.6269191065264892,3.6693178919614007,0.0,183.6,318.1513183593749,795.3782958984374,276.6533203125,691.63330078125,1,2021-09-15 14:23:01
