Date Time, Monitor ID, Location ID, PM10_ppm, PM2.5_ppm,PM10_ppb,PM2.5_ppb
09-07-2021 12:43,1,1,0.007,0.005,7,5
09-07-2021 12:44,1,1,0.007,0.004,7,4
09-07-2021 12:45,1,1,0.008,0.005,8,5
09-07-2021 12:46,1,1,0.008,0.005,8,5
09-07-2021 12:47,1,1,0.009,0.005,9,5
09-07-2021 12:48,1,1,0.009,0.005,9,5
09-07-2021 12:49,1,1,0.009,0.006,9,6
09-07-2021 12:50,1,1,0.009,0.006,9,6
09-07-2021 12:51,1,1,0.01,0.006,10,6
09-07-2021 12:52,1,1,0.008,0.005,8,5
09-07-2021 12:53,1,1,0.007,0.005,7,5
09-07-2021 12:54,1,1,0.006,0.006,6,6
09-07-2021 12:55,1,1,0.01,0.005,10,5
09-07-2021 12:56,1,1,0.01,0.005,10,5
09-07-2021 12:57,1,1,0.01,0.005,10,5
09-07-2021 12:58,1,1,0.01,0.006,10,6
09-07-2021 12:59,1,1,0.009,0.005,9,5
09-07-2021 13:00,1,1,0.008,0.005,8,5
09-07-2021 13:01,1,1,0.009,0.005,9,5
09-07-2021 13:02,1,1,0.008,0.005,8,5
09-07-2021 13:03,1,1,0.008,0.004,8,4
09-07-2021 13:04,1,1,0.008,0.005,8,5
09-07-2021 13:05,1,1,0.006,0.005,6,5
09-07-2021 13:06,1,1,0.009,0.005,9,5
09-07-2021 13:07,1,1,0.006,0.005,6,5
09-07-2021 13:08,1,1,0.011,0.004,11,4
09-07-2021 13:09,1,1,0.006,0.004,6,4
09-07-2021 13:10,1,1,0.007,0.005,7,5
09-07-2021 13:11,1,1,0.009,0.005,9,5
09-07-2021 13:12,1,1,0.006,0.004,6,4
09-07-2021 13:13,1,1,0.006,0.005,6,5
09-07-2021 13:14,1,1,0.011,0.005,11,5
09-07-2021 13:15,1,1,0.007,0.004,7,4
09-07-2021 13:16,1,1,0.009,0.004,9,4
09-07-2021 13:17,1,1,0.006,0.005,6,5
09-07-2021 13:18,1,1,0.007,0.004,7,4
09-07-2021 13:19,1,1,0.007,0.005,7,5
09-07-2021 13:20,1,1,0.005,0.004,5,4
09-07-2021 13:21,1,1,0.009,0.005,9,5
09-07-2021 13:22,1,1,0.011,0.005,11,5
09-07-2021 13:23,1,1,0.007,0.004,7,4
09-07-2021 13:24,1,1,0.01,0.004,10,4
09-07-2021 13:25,1,1,0.008,0.003,8,3
09-07-2021 13:26,1,1,0.007,0.003,7,3
09-07-2021 13:27,1,1,0.007,0.003,7,3
09-07-2021 13:28,1,1,0.004,0.002,4,2
09-07-2021 13:29,1,1,0.007,0.003,7,3
09-07-2021 13:30,1,1,0.006,0.003,6,3
09-07-2021 13:31,1,1,0.004,0.002,4,2
09-07-2021 13:32,1,1,0.005,0.003,5,3
09-07-2021 13:33,1,1,0.005,0.003,5,3
09-07-2021 13:34,1,1,0.004,0.003,4,3
09-07-2021 13:35,1,1,0.005,0.003,5,3
09-07-2021 13:36,1,1,0.005,0.002,5,2
09-07-2021 13:37,1,1,0.003,0.003,3,3
09-07-2021 13:38,1,1,0.003,0.002,3,2
09-07-2021 13:39,1,1,0.004,0.002,4,2
09-07-2021 13:40,1,1,0.003,0.002,3,2
09-07-2021 13:41,1,1,0.003,0.002,3,2
09-07-2021 13:42,1,1,0.004,0.002,4,2
09-07-2021 13:43,1,1,0.004,0.002,4,2
09-07-2021 13:44,1,1,0.006,0.002,6,2
09-07-2021 13:45,1,1,0.002,0.002,2,2
09-07-2021 13:46,1,1,0.005,0.002,5,2
09-07-2021 13:47,1,1,0.005,0.002,5,2
09-07-2021 13:48,1,1,0.004,0.002,4,2
09-07-2021 13:49,1,1,0.005,0.002,5,2
09-07-2021 13:50,1,1,0.005,0.002,5,2
09-07-2021 13:51,1,1,0.005,0.002,5,2
09-07-2021 13:52,1,1,0.005,0.002,5,2
09-07-2021 13:53,1,1,0.004,0.002,4,2
09-07-2021 13:54,1,1,0.005,0.002,5,2
09-07-2021 13:55,1,1,0.003,0.002,3,2
09-07-2021 13:56,1,1,0.003,0.002,3,2
09-07-2021 13:57,1,1,0.007,0.003,7,3
