Date Time, Monitor ID, Location ID, CO_ppm
27-07-2021 17:11,1,1,4.34
27-07-2021 17:12,1,1,4.1
27-07-2021 17:13,1,1,3.89
27-07-2021 17:14,1,1,3.85
27-07-2021 17:15,1,1,3.83
27-07-2021 17:16,1,1,3.84
27-07-2021 17:17,1,1,3.8
27-07-2021 17:18,1,1,3.75
27-07-2021 17:19,1,1,3.7
27-07-2021 17:20,1,1,3.65
27-07-2021 17:21,1,1,3.65
27-07-2021 17:22,1,1,3.73
27-07-2021 17:23,1,1,3.53
27-07-2021 17:24,1,1,2.98
27-07-2021 17:25,1,1,2.26
27-07-2021 17:26,1,1,1.72
27-07-2021 17:27,1,1,1.02
27-07-2021 17:28,1,1,0.05
27-07-2021 17:29,1,1,0
