,created_at, Monitor ID, Location ID, SO2(ppm),NO2,O3,CO,SO2,Temperature,RH,Pressure
100,2021-10-23 13:24:00,1,1,0.1,0.0,0.0,13.316,54.053,35.127,30.188,956.164
101,2021-10-23 13:25:00,1,1,0.0,0.0,0.0,14.474,57.368,35.175,29.803,956.004
102,2021-10-23 13:26:00,1,1,0.0,0.0,0.0,14.556,58.222,35.102,29.855,955.602
103,2021-10-23 13:27:00,1,1,0.0,0.0,0.0,15.684,60.947,35.048,30.533,955.02
104,2021-10-23 13:28:00,1,1,0.1,0.0,0.0,15.222,57.556,34.819,31.01,953.8
105,2021-10-23 13:29:00,1,1,0.0,0.0,0.0,17.056,61.056,34.683,30.595,953.175
106,2021-10-23 13:30:00,1,1,0.1,0.0,0.0,14.263,53.789,34.642,30.538,953.71
107,2021-10-23 13:31:00,1,1,0.0,0.0,0.0,12.25,48.75,34.507,30.747,954.003
108,2021-10-23 13:32:00,1,1,0.1,0.0,0.0,14.75,54.062,34.168,31.526,953.047
109,2021-10-23 13:33:00,1,1,0.0,0.0,0.0,13.333,48.278,33.81,32.632,952.546
110,2021-10-23 13:34:00,1,1,0.0,0.0,0.0,10.526,42.632,33.443,33.504,953.103
111,2021-10-23 13:35:00,1,1,0.0,0.0,0.0,9.889,42.222,33.219,34.151,953.405
112,2021-10-23 13:36:00,1,1,0.0,0.0,0.0,11.056,45.389,33.048,34.022,952.802
113,2021-10-23 13:37:00,1,1,0.0,0.0,0.0,12.235,47.0,32.966,35.16,951.909
114,2021-10-23 13:38:00,1,1,0.0,0.0,0.0,11.0,45.789,33.04,34.229,951.484
115,2021-10-23 13:39:00,1,1,0.0,0.0,0.0,14.611,57.222,33.2,33.351,951.829
116,2021-10-23 13:40:00,1,1,0.1,0.0,0.0,12.263,49.368,33.212,33.637,952.307
117,2021-10-23 13:41:00,1,1,0.0,0.0,0.0,11.611,48.889,33.419,33.404,951.847
118,2021-10-23 13:42:00,1,1,0.0,0.0,0.0,10.053,43.526,33.871,32.607,952.145
119,2021-10-23 13:43:00,1,1,0.1,0.0,0.0,9.0,42.053,34.317,32.74,952.121
120,2021-10-23 13:44:00,1,1,0.1,0.0,0.0,9.389,42.5,34.617,32.59,952.645
121,2021-10-23 13:45:00,1,1,0.1,0.0,0.0,9.889,43.333,34.869,31.323,953.532
122,2021-10-23 13:46:00,1,1,0.1,0.0,0.0,10.737,45.737,35.311,30.494,953.695
123,2021-10-23 13:47:00,1,1,0.1,0.0,0.0,12.056,47.0,35.752,30.164,953.628
124,2021-10-23 13:48:00,1,1,0.1,0.0,0.0,11.737,47.684,36.093,30.078,953.456
125,2021-10-23 13:49:00,1,1,0.0,0.0,0.0,13.0,50.176,35.919,29.754,953.657
126,2021-10-23 13:50:00,1,1,0.0,0.0,0.0,12.0,47.947,35.844,30.738,954.457
127,2021-10-23 13:51:00,1,1,0.0,0.0,0.0,11.263,46.474,35.563,29.943,955.022
128,2021-10-23 13:52:00,1,1,0.1,0.0,0.0,11.944,51.167,35.872,29.263,955.788
129,2021-10-23 13:53:00,1,1,0.1,0.0,0.0,13.053,54.895,36.323,27.991,955.9
130,2021-10-23 13:54:00,1,1,0.1,0.0,0.0,11.167,48.667,36.639,27.455,956.021
131,2021-10-23 13:55:00,1,1,0.0,0.0,0.0,12.55,55.2,37.084,27.557,956.064
132,2021-10-23 13:56:00,1,1,0.0,0.0,0.0,16.944,65.667,37.513,27.519,956.108
133,2021-10-23 13:57:00,1,1,0.0,0.0,0.0,15.632,58.211,37.493,27.158,956.243
134,2021-10-23 13:58:00,1,1,0.0,0.0,0.0,13.5,54.778,37.147,27.468,956.259
135,2021-10-23 13:59:00,1,1,0.1,0.0,0.0,13.588,56.294,37.236,26.921,956.279
136,2021-10-23 14:00:00,1,1,0.1,0.0,0.0,15.316,60.421,37.433,26.907,956.406
137,2021-10-23 14:01:00,1,1,0.2,0.0,0.0,15.526,61.053,37.591,28.124,956.442
138,2021-10-23 14:02:00,1,1,0.0,0.0,0.0,15.765,63.706,37.802,26.618,956.397
139,2021-10-23 14:03:00,1,1,0.0,0.0,0.0,16.632,62.789,38.045,26.576,956.416
140,2021-10-23 14:04:00,1,1,0.1,0.0,0.0,15.211,60.105,37.979,28.082,956.588
141,2021-10-23 14:05:00,1,1,0.2,0.0,0.0,14.111,53.5,37.565,27.795,956.466
142,2021-10-23 14:06:00,1,1,0.3,0.0,0.0,12.895,52.263,37.279,27.631,956.283
