,Date Time, NO2(ppm),data.temp_c,data.hum_prcnt,data.co_ppm,data.no2_ppb,data.co_mv,data.no2_mv,data.ozone_ppm,data.batt_prcnt,data.location.lat,data.location.lon,data.no2_ppb_shift
119,2021-08-19 13:20:00,0.012,34.265,45.033,506.5,2224.5,1918.0,1122.0,66.5,79.0,17.447,78.348,2158.5
120,2021-08-19 13:21:00,0.02,34.305,45.116,517.0,2228.5,1949.0,1126.5,66.5,79.0,17.447,78.348,2096.0
121,2021-08-19 13:22:00,0.023,34.355,45.139,529.5,2285.0,1985.0,1143.0,69.5,79.0,17.447,78.348,2112.0
122,2021-08-19 13:23:00,0.017,34.37,44.837,514.0,2244.5,1943.0,1126.5,64.0,79.0,17.447,78.348,2053.0
123,2021-08-19 13:24:00,0.015,34.4,44.882,521.5,2267.5,1958.0,1132.5,64.0,79.0,17.447,78.348,1948.0
124,2021-08-19 13:25:00,0.025,34.41,44.987,526.0,2298.0,1968.0,1144.5,71.5,79.0,17.447,78.348,1974.5
125,2021-08-19 13:26:00,0.031,34.34,43.588,497.0,2078.0,1893.5,1084.0,37.0,79.0,17.446,78.35,2044.0
126,2021-08-19 13:27:00,0.023,33.945,44.563,501.5,2099.5,1902.5,1089.0,87.5,78.0,17.446,78.351,2131.5
127,2021-08-19 13:28:00,0.027000000000000003,33.75,45.044,503.5,2115.5,1911.0,1097.0,62.5,78.0,17.446,78.351,2171.0
128,2021-08-19 13:29:00,0.042,33.72,44.796,554.0,2090.5,2054.5,1088.5,43.5,78.0,17.448,78.349,2162.0
129,2021-08-19 13:30:00,0.055,33.53,44.102,500.0,1963.5,1901.5,1051.5,43.5,78.0,17.447,78.351,2160.0
130,2021-08-19 13:31:00,0.069,33.22,44.662,499.0,1950.0,1893.0,1050.0,54.0,78.0,17.445,78.353,2176.5
131,2021-08-19 13:32:00,0.068,32.755,46.327,564.0,2031.5,2082.0,1068.5,85.5,78.0,17.442,78.359,2178.0
132,2021-08-19 13:33:00,0.091,32.39,47.256,537.0,2057.0,1998.0,1077.0,97.0,78.0,17.439,78.363,2167.5
133,2021-08-19 13:34:00,0.053,32.38,47.535,536.0,2067.0,2000.0,1084.0,101.0,78.0,17.439,78.363,2158.5
134,2021-08-19 13:35:00,0.057999999999999996,32.505,47.822,560.5,2099.5,2069.0,1085.5,104.0,78.0,17.439,78.363,2189.0
135,2021-08-19 13:36:00,0.044000000000000004,32.74,46.842,585.5,2112.0,2139.0,1092.5,71.0,78.0,17.438,78.366,2158.5
136,2021-08-19 13:37:00,0.03,32.77,46.05,534.0,2012.0,1997.5,1061.0,72.5,78.0,17.433,78.37,2164.0
137,2021-08-19 13:38:00,0.047,32.63,46.722,687.0,2189.0,2426.0,1116.0,97.0,78.0,17.43,78.374,2226.5
138,2021-08-19 13:39:00,0.040999999999999995,32.39,46.746,549.0,2035.5,2039.5,1070.5,77.0,78.0,17.432,78.375,2217.5
139,2021-08-19 13:40:00,0.083,32.22,46.899,657.0,2151.5,2340.5,1104.0,81.0,78.0,17.437,78.375,2215.5
140,2021-08-19 13:41:00,0.053,32.145,47.285,590.5,2081.5,2150.0,1080.5,94.5,78.0,17.441,78.377,2201.0
141,2021-08-19 13:42:00,0.061,32.085,47.48,527.5,1996.0,1980.5,1059.5,98.0,78.0,17.443,78.377,2178.0
142,2021-08-19 13:43:00,0.045,32.09,47.632,579.5,2154.5,2123.5,1098.5,71.5,77.5,17.448,78.378,2175.0
143,2021-08-19 13:44:00,0.052000000000000005,31.995,47.999,593.5,2146.0,2159.5,1101.5,80.5,77.0,17.452,78.381,2178.0
144,2021-08-19 13:45:00,0.031,31.775,48.296,553.5,2062.0,2049.0,1072.0,95.0,77.0,17.457,78.384,2207.0
145,2021-08-19 13:46:00,0.067,31.58,49.235,562.0,2100.0,2080.0,1087.0,93.0,77.0,17.462,78.385,2253.0
146,2021-08-19 13:47:00,0.067,31.38,49.237,535.5,1946.0,1998.5,1045.0,79.0,77.0,17.47,78.387,2221.0
147,2021-08-19 13:48:00,0.032,31.195,49.52,562.0,1967.5,2074.0,1051.0,101.5,78.0,17.475,78.388,2203.0
148,2021-08-19 13:49:00,0.052000000000000005,31.1,51.01,544.0,1981.5,2023.0,1052.0,81.0,77.0,17.479,78.39,2200.0
149,2021-08-19 13:50:00,0.042,30.97,51.395,531.0,1925.0,1988.0,1045.0,97.0,77.0,17.484,78.39,2215.5
150,2021-08-19 13:51:00,0.092,30.905,50.964,638.5,2328.0,2288.0,1150.5,95.0,77.0,17.487,78.391,2210.0
151,2021-08-19 13:52:00,0.045,30.93,50.381,528.5,1994.5,1980.5,1060.5,83.5,77.0,17.491,78.393,2208.5
152,2021-08-19 13:53:00,0.08800000000000001,31.015,50.861,599.0,2071.0,2179.0,1080.0,91.5,77.0,17.495,78.394,2224.5
153,2021-08-19 13:54:00,0.083,31.16,50.2,594.0,2103.5,2159.0,1088.0,76.0,77.0,17.497,78.393,2205.0
154,2021-08-19 13:55:00,0.075,31.28,49.717,598.0,2085.5,2172.0,1079.5,92.5,77.0,17.497,78.395,2214.0
155,2021-08-19 13:56:00,0.071,31.465,49.44,628.5,2197.5,2256.0,1119.0,88.5,77.0,17.496,78.397,2228.0
156,2021-08-19 13:57:00,0.06,31.67,48.844,643.0,2366.0,2306.5,1163.5,93.5,77.0,17.494,78.401,2210.5
157,2021-08-19 13:58:00,0.07200000000000001,31.84,48.784,620.5,2326.5,2235.5,1152.0,78.0,77.0,17.492,78.405,2182.0
