Epoch date,GMT,Battery_percentage,CO_mega
1624152191,20-06-2021 01:23,44,514
1624155450,20-06-2021 02:17,39,511
1624156090,20-06-2021 02:28,39,510
1624156799,20-06-2021 02:39,38,511
1624157369,20-06-2021 02:49,38,511
1624160486,20-06-2021 03:41,31,513
1624161169,20-06-2021 03:52,29,510
1624161685,20-06-2021 04:01,27,503
1624162465,20-06-2021 04:14,24,493
1624164388,20-06-2021 04:46,14,461
1624165001,20-06-2021 04:56,11,450
1624165722,20-06-2021 05:08,7,437
1624166377,20-06-2021 05:19,2,416
1624166806,20-06-2021 05:26,0,403
1624339205,22-06-2021 05:20,30,478
1624339236,22-06-2021 05:20,30,437
1624339267,22-06-2021 05:21,31,434
1624339311,22-06-2021 05:21,32,436
1624339401,22-06-2021 05:23,35,451
1624339431,22-06-2021 05:23,37,462
1624339462,22-06-2021 05:24,38,458
1624339497,22-06-2021 05:24,40,459
1624339729,22-06-2021 05:28,48,477
1624339975,22-06-2021 05:32,52,487
1624340253,22-06-2021 05:37,54,496
1624340595,22-06-2021 05:43,54,505
1624340945,22-06-2021 05:49,58,512
1624341535,22-06-2021 05:58,63,525
1624341766,22-06-2021 06:02,65,528
1624342258,22-06-2021 06:10,68,536
1624342626,22-06-2021 06:17,68,543
1624343016,22-06-2021 06:23,71,546
1624343355,22-06-2021 06:29,73,549
1624343836,22-06-2021 06:37,76,556
1624343867,22-06-2021 06:37,76,557
1624343898,22-06-2021 06:38,77,557
1624343997,22-06-2021 06:39,77,556
1624344201,22-06-2021 06:43,79,557
1624344614,22-06-2021 06:50,82,562
1624344981,22-06-2021 06:56,86,562
1624345388,22-06-2021 07:03,89,567
1624345781,22-06-2021 07:09,91,568
1624346114,22-06-2021 07:15,94,549
1624346754,22-06-2021 07:25,99,547
1624347377,22-06-2021 07:36,100,549
1624347674,22-06-2021 07:41,100,555
1624348156,22-06-2021 07:49,100,557
1624348634,22-06-2021 07:57,100,557
1624349090,22-06-2021 08:04,100,556
1624349716,22-06-2021 08:15,100,555
1624350125,22-06-2021 08:22,100,554
1624350489,22-06-2021 08:28,100,554
1624350892,22-06-2021 08:34,100,553
1624351201,22-06-2021 08:40,100,552
1624351501,22-06-2021 08:45,100,545
