Epoch date,GMT,Battery_percentage,NO2_ppb_megasense
1624111096,19-06-2021 13:58,89,2489
1624111504,19-06-2021 14:05,88,2500
1624111872,19-06-2021 14:11,88,2503
1624112304,19-06-2021 14:18,88,2510
1624112657,19-06-2021 14:24,87,2517
1624113356,19-06-2021 14:35,86,2514
1624113765,19-06-2021 14:42,86,2517
1624114128,19-06-2021 14:48,85,2517
1624114529,19-06-2021 14:55,85,2507
1624114952,19-06-2021 15:02,84,2503
1624115270,19-06-2021 15:07,84,2517
1624115703,19-06-2021 15:15,84,2507
1624116098,19-06-2021 15:21,83,2517
1624116518,19-06-2021 15:28,83,2535
1624116897,19-06-2021 15:34,82,2496
1624116932,19-06-2021 15:35,82,2525
1624117217,19-06-2021 15:40,81,2500
1624117601,19-06-2021 15:46,82,2514
1624117970,19-06-2021 15:52,81,2514
1624118598,19-06-2021 16:03,81,2514
1624118911,19-06-2021 16:08,79,2517
1624119819,19-06-2021 16:23,79,2517
1624120204,19-06-2021 16:30,78,2546
1624120613,19-06-2021 16:36,78,2528
1624121035,19-06-2021 16:43,78,2514
1624121139,19-06-2021 16:45,77,2521
1624121365,19-06-2021 16:49,77,2496
1624121614,19-06-2021 16:53,77,2492
1624121801,19-06-2021 16:56,77,2460
1624122011,19-06-2021 17:00,77,2432
1624122177,19-06-2021 17:02,77,2385
1624122471,19-06-2021 17:07,76,2364
1624122813,19-06-2021 17:13,76,2346
1624123426,19-06-2021 17:23,75,2389
1624123880,19-06-2021 17:31,75,2425
1624124363,19-06-2021 17:39,74,2389
1624124849,19-06-2021 17:47,74,2414
1624125078,19-06-2021 17:51,74,2410
1624126073,19-06-2021 18:07,73,2414
1624126488,19-06-2021 18:14,72,2367
1624127436,19-06-2021 18:30,71,2382
1624127828,19-06-2021 18:37,70,2378
1624128343,19-06-2021 18:45,69,2400
1624128957,19-06-2021 18:55,68,2392
1624129959,19-06-2021 19:12,67,2396
1624130631,19-06-2021 19:23,66,2364
1624131128,19-06-2021 19:32,65,2392
1624131460,19-06-2021 19:37,65,2400
1624132197,19-06-2021 19:49,64,2421
1624133124,19-06-2021 20:05,63,2446
1624135763,19-06-2021 20:49,60,2464
1624136482,19-06-2021 21:01,59,2471
1624137214,19-06-2021 21:13,58,2471
1624138080,19-06-2021 21:28,58,2478
1624138111,19-06-2021 21:28,57,2478
1624138400,19-06-2021 21:33,57,2482
1624139124,19-06-2021 21:45,57,2475
1624139863,19-06-2021 21:57,56,2482
1624142381,19-06-2021 22:39,54,2485
1624145069,19-06-2021 23:24,52,2492
1624147477,20-06-2021 00:04,50,2489
1624150414,20-06-2021 00:53,47,2500
1624151082,20-06-2021 01:04,46,2514
1624151761,20-06-2021 01:16,45,2525
1624152191,20-06-2021 01:23,44,2500
1624155450,20-06-2021 02:17,39,2525
1624156090,20-06-2021 02:28,39,2528
1624156799,20-06-2021 02:39,38,2521
1624157369,20-06-2021 02:49,38,2503
1624160486,20-06-2021 03:41,31,2550
1624161169,20-06-2021 03:52,29,2528
1624161685,20-06-2021 04:01,27,2485
1624162465,20-06-2021 04:14,24,2400
1624164388,20-06-2021 04:46,14,2132
1624165001,20-06-2021 04:56,11,2046
1624165722,20-06-2021 05:08,7,1939
1624166377,20-06-2021 05:19,2,1839
1624166806,20-06-2021 05:26,0,1696
1624339205,22-06-2021 05:20,30,7067
1624339236,22-06-2021 05:20,30,6039
1624339267,22-06-2021 05:21,31,4760
1624339311,22-06-2021 05:21,32,4321
1624339401,22-06-2021 05:23,35,3571
1624339431,22-06-2021 05:23,37,3425
1624339462,22-06-2021 05:24,38,3328
1624339497,22-06-2021 05:24,40,3203
1624339729,22-06-2021 05:28,48,2757
1624339975,22-06-2021 05:32,52,2657
1624340253,22-06-2021 05:37,54,2639
1624340595,22-06-2021 05:43,54,2607
1624340945,22-06-2021 05:49,58,2614
1624341535,22-06-2021 05:58,63,2642
1624341766,22-06-2021 06:02,65,2657
1624342258,22-06-2021 06:10,68,2725
1624342626,22-06-2021 06:17,68,2753
1624343016,22-06-2021 06:23,71,2775
1624343355,22-06-2021 06:29,73,2789
1624343836,22-06-2021 06:37,76,2825
1624343867,22-06-2021 06:37,76,2832
1624343898,22-06-2021 06:38,77,2825
1624343997,22-06-2021 06:39,77,2832
1624344201,22-06-2021 06:43,79,2839
1624344614,22-06-2021 06:50,82,2853
1624344981,22-06-2021 06:56,86,2889
1624345388,22-06-2021 07:03,89,2889
1624345781,22-06-2021 07:09,91,2900
1624346114,22-06-2021 07:15,94,2717
1624346754,22-06-2021 07:25,99,2660
1624347377,22-06-2021 07:36,100,2692
1624347674,22-06-2021 07:41,100,2757
