Epoch date,GMT,NO2_ppb_megasense
1623954112,17-06-2021 18:21,2621
1623954297,17-06-2021 18:24,2621
1623954523,17-06-2021 18:28,2660
1623954740,17-06-2021 18:32,2657
1623954934,17-06-2021 18:35,2689
1623955164,17-06-2021 18:39,2682
1623955354,17-06-2021 18:42,2682
1623955550,17-06-2021 18:45,2657
1623955581,17-06-2021 18:46,2657
1623955614,17-06-2021 18:46,2635
1623955648,17-06-2021 18:47,2639
1623955886,17-06-2021 18:51,2617
1623956133,17-06-2021 18:55,2610
1623956427,17-06-2021 19:00,2625
1623956614,17-06-2021 19:03,2646
1623957095,17-06-2021 19:11,2632
1623957354,17-06-2021 19:15,2607
1623957600,17-06-2021 19:20,2610
1623957813,17-06-2021 19:23,2657
1623958001,17-06-2021 19:26,2635
1623958216,17-06-2021 19:30,2639
1623958431,17-06-2021 19:33,2600
1623958637,17-06-2021 19:37,2592
1623958839,17-06-2021 19:40,2635
1623959073,17-06-2021 19:44,2660
1623959248,17-06-2021 19:47,2650
1623959436,17-06-2021 19:50,2625
1623959634,17-06-2021 19:53,2585
1623959840,17-06-2021 19:57,2632
1623960008,17-06-2021 20:00,2646
1623960227,17-06-2021 20:03,2639
1623960441,17-06-2021 20:07,2621
1623960641,17-06-2021 20:10,2585
1623960698,17-06-2021 20:11,2607
1623960732,17-06-2021 20:12,2596
1623960819,17-06-2021 20:13,2603
1623960908,17-06-2021 20:15,2639
1623961053,17-06-2021 20:17,2639
1623961389,17-06-2021 20:23,2646
1623961827,17-06-2021 20:30,2671
1623962199,17-06-2021 20:36,2696
1623962456,17-06-2021 20:40,2700
1623963243,17-06-2021 20:54,2725
1623963688,17-06-2021 21:01,2742
1623964287,17-06-2021 21:11,2753
1623964665,17-06-2021 21:17,2767
1623965073,17-06-2021 21:24,2771
1623965254,17-06-2021 21:27,2767
1623965496,17-06-2021 21:31,2782
1623965916,17-06-2021 21:38,2778
1623966278,17-06-2021 21:44,2796
1623966812,17-06-2021 21:53,2782
1623967265,17-06-2021 22:01,2796
1623967628,17-06-2021 22:07,2807
1623967902,17-06-2021 22:11,2782
1623968257,17-06-2021 22:17,2810
1623968479,17-06-2021 22:21,2800
1623968674,17-06-2021 22:24,2814
1623969058,17-06-2021 22:30,2800
1623969408,17-06-2021 22:36,2825
1623970044,17-06-2021 22:47,2817
1623970459,17-06-2021 22:54,2807
1623970867,17-06-2021 23:01,2814
1623971257,17-06-2021 23:07,2850
1623971666,17-06-2021 23:14,2828
1623972112,17-06-2021 23:21,2846
1623972749,17-06-2021 23:32,2825
1623973269,17-06-2021 23:41,2767
1623973928,17-06-2021 23:52,2725
1623974644,18-06-2021 00:04,2632
1623975214,18-06-2021 00:13,2564
1623975634,18-06-2021 00:20,2475
1623975679,18-06-2021 00:21,2475
1623975775,18-06-2021 00:22,2464
1623976035,18-06-2021 00:27,2428
1623976434,18-06-2021 00:33,2389
1623976850,18-06-2021 00:40,2300
1623977269,18-06-2021 00:47,2257
1623977651,18-06-2021 00:54,2189
1623978258,18-06-2021 01:04,2092
1623978697,18-06-2021 01:11,1939
1623979068,18-06-2021 01:17,1817
1624003043,18-06-2021 07:57,5575
