Epoch date,GMT,CO_mega
1624282454,21-06-2021 13:34,752
1624282514,21-06-2021 13:35,713
1624282574,21-06-2021 13:36,689
1624282633,21-06-2021 13:37,585
1624282698,21-06-2021 13:38,589
1624282752,21-06-2021 13:39,489
1624282783,21-06-2021 13:39,550
1624282840,21-06-2021 13:40,549
1624282894,21-06-2021 13:41,406
1624282951,21-06-2021 13:42,460
1624283011,21-06-2021 13:43,451
1624283060,21-06-2021 13:44,441
1624283110,21-06-2021 13:45,483
1624283159,21-06-2021 13:45,445
1624283214,21-06-2021 13:46,470
1624283270,21-06-2021 13:47,423
1624283327,21-06-2021 13:48,476
1624283390,21-06-2021 13:49,429
1624283449,21-06-2021 13:50,451
1624283511,21-06-2021 13:51,481
1624283570,21-06-2021 13:52,458
1624283629,21-06-2021 13:53,450
1624283689,21-06-2021 13:54,463
1624283720,21-06-2021 13:55,480
1624283772,21-06-2021 13:56,458
1624283839,21-06-2021 13:57,473
1624283900,21-06-2021 13:58,469
1624283962,21-06-2021 13:59,471
1624284021,21-06-2021 14:00,463
1624284081,21-06-2021 14:01,447
1624284133,21-06-2021 14:02,478
1624284190,21-06-2021 14:03,444
1624284243,21-06-2021 14:04,509
1624284289,21-06-2021 14:04,468
1624284351,21-06-2021 14:05,451
1624284512,21-06-2021 14:08,434
1624284856,21-06-2021 14:14,490
1624284957,21-06-2021 14:15,474
1624285241,21-06-2021 14:20,508
1624285563,21-06-2021 14:26,458
1624285593,21-06-2021 14:26,457
1624285624,21-06-2021 14:27,465
1624285656,21-06-2021 14:27,454
1624285687,21-06-2021 14:28,454
1624285744,21-06-2021 14:29,448
1624285805,21-06-2021 14:30,465
1624285853,21-06-2021 14:30,453
1624285887,21-06-2021 14:31,454
1624285918,21-06-2021 14:31,457
1624285961,21-06-2021 14:32,458
1624286012,21-06-2021 14:33,477
1624286069,21-06-2021 14:34,447
1624286129,21-06-2021 14:35,474
1624286176,21-06-2021 14:36,451
1624286230,21-06-2021 14:37,450
1624286289,21-06-2021 14:38,469
1624286349,21-06-2021 14:39,464
1624286410,21-06-2021 14:40,472
1624286459,21-06-2021 14:40,457
1624286510,21-06-2021 14:41,448
1624286570,21-06-2021 14:42,452
1624286630,21-06-2021 14:43,466
1624286691,21-06-2021 14:44,462
1624286750,21-06-2021 14:45,464
1624286809,21-06-2021 14:46,455
1624286852,21-06-2021 14:47,453
1624286910,21-06-2021 14:48,469
1624286968,21-06-2021 14:49,461
1624287026,21-06-2021 14:50,460
1624287081,21-06-2021 14:51,448
1624287137,21-06-2021 14:52,466
1624287195,21-06-2021 14:53,473
1624287251,21-06-2021 14:54,491
1624287308,21-06-2021 14:55,477
1624287364,21-06-2021 14:56,502
1624287414,21-06-2021 14:56,495
1624287469,21-06-2021 14:57,526
1624287526,21-06-2021 14:58,521
1624287585,21-06-2021 14:59,476
1624287643,21-06-2021 15:00,464
1624287699,21-06-2021 15:01,463
1624287755,21-06-2021 15:02,441
1624287811,21-06-2021 15:03,438
1624287869,21-06-2021 15:04,456
1624287929,21-06-2021 15:05,437
1624288034,21-06-2021 15:07,433
1624288149,21-06-2021 15:09,439
1624288207,21-06-2021 15:10,438
1624288268,21-06-2021 15:11,439
1624288330,21-06-2021 15:12,438
1624288397,21-06-2021 15:13,436
1624288460,21-06-2021 15:14,438
1624288522,21-06-2021 15:15,442
1624288580,21-06-2021 15:16,439
1624288641,21-06-2021 15:17,443
1624288697,21-06-2021 15:18,440
1624288745,21-06-2021 15:19,443
1624288800,21-06-2021 15:20,442
1624288858,21-06-2021 15:20,446
1624288909,21-06-2021 15:21,443
1624288971,21-06-2021 15:22,444
1624289032,21-06-2021 15:23,444
1624289092,21-06-2021 15:24,447
1624289153,21-06-2021 15:25,448
1624289214,21-06-2021 15:26,445
1624289275,21-06-2021 15:27,448
1624289338,21-06-2021 15:28,446
1624289408,21-06-2021 15:30,447
1624289469,21-06-2021 15:31,444
1624289536,21-06-2021 15:32,447
1624289581,21-06-2021 15:33,446
1624289846,21-06-2021 15:37,454
1624290208,21-06-2021 15:43,462
1624290508,21-06-2021 15:48,461
1624290794,21-06-2021 15:53,456
1624291053,21-06-2021 15:57,454
1624291356,21-06-2021 16:02,464
1624291673,21-06-2021 16:07,478
1624292044,21-06-2021 16:14,477
1624292285,21-06-2021 16:18,484
1624292530,21-06-2021 16:22,485
