,Date Time, Monitor ID, Location ID, SO2(ppm),data.temp_c,data.hum_prcnt,data.press_hpa,data.co_ppm,data.no2_ppb,data.co_mv,data.no2_mv,data.ozone_ppm,data.ozone_volt_mv,data.tvoc_ppb,data.batt_prcnt,data.location.lat,data.location.lon,data.location.acc,data.timestamp
91,2021-10-23 13:03:00,1,1,0.1,39.66,20.0,954.059,649.0,2371.0,2316.0,1167.0,115.0,-2296.0,0.0,92.0,17.382,78.408,2.6,1634974358520.0
92,2021-10-23 13:04:00,1,1,0.1,39.84,19.915,954.316,557.0,2133.5,2062.5,1098.0,105.5,-2107.0,0.0,92.0,17.381,78.41,2.6,1634974405095.0
93,2021-10-23 13:05:00,1,1,0.6,39.94,19.769,954.594,447.5,1865.5,1752.0,1022.5,124.5,-2480.5,0.0,92.0,17.38,78.412,1.85,1634974467284.0
94,2021-10-23 13:06:00,1,1,0.4,40.15,20.507,954.63,639.5,2614.0,2290.0,1231.5,172.0,-3432.5,0.0,92.0,17.38,78.412,1.35,1634974529586.0
95,2021-10-23 13:07:00,1,1,0.2,40.57,20.538,954.677,699.0,2892.5,2454.5,1314.5,177.0,-3537.0,0.0,92.0,17.379,78.412,1.75,1634974591403.5
96,2021-10-23 13:08:00,1,1,1.1,41.105,20.469,954.715,518.0,2460.0,1949.0,1188.5,168.5,-3361.5,0.0,91.5,17.379,78.413,2.45,1634974653352.5
97,2021-10-23 13:09:00,1,1,0.8,41.6,19.316,954.764,656.5,2951.5,2343.0,1320.0,103.5,-2060.5,0.0,92.0,17.379,78.413,4.0,1634974715423.0
98,2021-10-23 13:10:00,1,1,1.0,42.095,20.418,954.793,733.5,3360.5,2555.5,1438.5,112.5,-2244.0,0.0,92.0,17.379,78.413,3.85,1634974777333.5
99,2021-10-23 13:11:00,1,1,1.8,42.37,20.581,954.743,666.0,2814.0,2365.0,1291.0,115.0,-2302.0,0.0,92.0,17.379,78.413,4.35,1634974839350.5
100,2021-10-23 13:12:00,1,1,0.8,42.625,20.292,954.764,775.0,4016.0,2666.0,1625.5,124.0,-2470.5,0.0,91.0,17.379,78.413,4.0,1634974901167.5
101,2021-10-23 13:13:00,1,1,0.6,42.815,20.412,954.746,775.0,4083.5,2667.5,1642.5,119.5,-2381.0,0.0,91.0,17.379,78.413,4.05,1634974963171.5
102,2021-10-23 13:14:00,1,1,0.2,43.005,19.537,954.694,753.0,3465.5,2609.0,1471.0,191.5,-3815.5,0.0,91.0,17.379,78.413,4.1,1634975025376.5
103,2021-10-23 13:15:00,1,1,0.2,43.14,19.599,954.65,796.0,4385.0,2728.0,1731.0,148.0,-2950.0,0.0,91.0,17.379,78.413,4.0,1634975071785.0
104,2021-10-23 13:16:00,1,1,0.3,43.295,18.577,954.677,704.5,3935.5,2470.0,1601.5,121.0,-2405.0,0.0,91.0,17.379,78.413,2.6,1634975118390.5
105,2021-10-23 13:17:00,1,1,0.1,42.77,18.968,954.625,459.0,2332.0,1787.0,1150.5,107.5,-2137.5,0.0,91.0,17.379,78.416,1.9,1634975179975.5
106,2021-10-23 13:18:00,1,1,0.1,41.51,19.056,954.535,452.0,2025.0,1769.0,1067.0,35.0,-706.0,0.0,91.0,17.378,78.419,2.8,1634975225945.0
107,2021-10-23 13:19:00,1,1,0.0,40.66,19.12,954.628,492.5,2063.5,1882.0,1078.5,88.5,-1764.0,0.0,91.0,17.378,78.421,2.3,1634975303647.0
108,2021-10-23 13:20:00,1,1,0.0,40.44,20.482,954.823,586.0,2405.0,2143.0,1174.0,135.0,-2688.0,0.0,91.0,17.378,78.424,2.2,1634975365931.0
109,2021-10-23 13:21:00,1,1,0.0,40.025,20.383,955.387,451.0,1946.0,1767.5,1041.0,127.0,-2537.0,0.0,91.0,17.377,78.428,2.1,1634975428281.5
110,2021-10-23 13:22:00,1,1,0.1,39.72,20.046,955.46,507.0,2017.5,1923.5,1068.0,131.0,-2614.5,0.0,91.0,17.379,78.429,2.55,1634975490347.0
111,2021-10-23 13:23:00,1,1,0.1,39.355,20.465,955.389,559.5,2167.5,2067.0,1106.5,133.0,-2653.0,0.0,91.0,17.377,78.43,2.3,1634975552001.5
112,2021-10-23 13:24:00,1,1,0.1,39.185,20.905,955.524,515.0,2114.0,1945.0,1089.5,130.5,-2605.5,0.0,91.0,17.374,78.429,2.2,1634975614096.5
113,2021-10-23 13:25:00,1,1,0.0,39.115,20.729,955.358,590.5,2149.5,2152.5,1104.5,136.0,-2713.5,0.0,91.0,17.371,78.429,2.0,1634975676400.0
114,2021-10-23 13:26:00,1,1,0.0,38.835,20.728,954.948,506.0,1983.5,1920.0,1059.5,92.5,-1846.0,0.0,91.0,17.367,78.429,1.85,1634975737950.0
115,2021-10-23 13:27:00,1,1,0.0,38.565,21.504,954.319,544.5,2058.5,2028.0,1074.0,111.0,-2221.0,0.0,91.0,17.364,78.428,2.05,1634975799902.5
116,2021-10-23 13:28:00,1,1,0.1,38.2,21.933,953.102,575.0,2001.5,2114.0,1059.0,137.5,-2745.5,0.0,91.0,17.36,78.427,2.35,1634975862334.5
117,2021-10-23 13:29:00,1,1,0.0,37.8,21.92,952.508,543.5,1947.5,2026.5,1042.5,156.5,-3128.0,0.0,91.0,17.357,78.424,2.05,1634975924707.5
118,2021-10-23 13:30:00,1,1,0.1,37.51,22.099,952.946,481.0,1728.0,1849.0,984.0,139.0,-2765.0,0.0,91.0,17.355,78.421,2.1,1634975971423.0
119,2021-10-23 13:31:00,1,1,0.0,37.29,22.249,953.446,471.0,1751.5,1823.5,989.5,164.0,-3278.5,0.0,91.0,17.352,78.418,2.5,1634976017212.5
120,2021-10-23 13:32:00,1,1,0.1,36.855,23.13,952.74,570.5,1985.0,2102.0,1054.5,165.0,-3291.5,0.0,91.0,17.348,78.417,3.25,1634976079377.0
121,2021-10-23 13:33:00,1,1,0.0,36.48,23.827,951.906,494.5,1821.0,1883.0,1006.5,144.0,-2873.0,0.0,91.0,17.344,78.417,2.25,1634976141246.5
122,2021-10-23 13:34:00,1,1,0.0,36.13,24.37,952.102,442.0,1600.0,1737.0,949.5,152.0,-3027.5,0.0,91.0,17.342,78.422,1.85,1634976203246.5
123,2021-10-23 13:35:00,1,1,0.0,35.77,25.836,952.701,436.5,1646.0,1722.5,960.0,116.5,-2327.5,0.0,91.0,17.338,78.426,2.55,1634976265391.5
124,2021-10-23 13:36:00,1,1,0.0,35.495,25.544,952.581,501.5,1698.0,1907.0,981.5,128.0,-2549.0,0.0,91.0,17.334,78.427,2.05,1634976327202.0
125,2021-10-23 13:37:00,1,1,0.0,35.17,26.581,951.545,475.0,1724.667,1828.0,984.333,117.0,-2329.333,0.0,91.0,17.328,78.426,2.067,1634976394378.0
126,2021-10-23 13:38:00,1,1,0.0,35.075,26.528,950.823,480.5,1824.5,1844.0,1016.5,135.5,-2698.0,0.0,91.0,17.327,78.426,1.7,1634976451243.5
127,2021-10-23 13:39:00,1,1,0.0,35.365,26.133,950.882,593.0,2158.5,2161.5,1105.5,127.0,-2536.0,0.0,91.0,17.326,78.427,3.3,1634976513451.0
128,2021-10-23 13:40:00,1,1,0.1,35.69,25.314,951.504,494.5,1960.5,1883.5,1048.5,117.0,-2334.5,0.0,91.0,17.323,78.43,2.4,1634976575390.5
129,2021-10-23 13:41:00,1,1,0.0,35.94,25.29,951.194,541.5,2024.5,2018.0,1062.0,147.5,-2949.5,0.0,91.0,17.322,78.432,1.65,1634976637622.5
130,2021-10-23 13:42:00,1,1,0.0,36.265,24.482,951.507,397.5,1474.5,1618.5,914.5,91.5,-1824.0,0.0,91.0,17.325,78.434,1.65,1634976699729.5
131,2021-10-23 13:43:00,1,1,0.1,36.61,24.575,951.469,479.5,2224.5,1845.5,1128.0,100.0,-1995.5,0.0,90.5,17.33,78.437,2.1,1634976761741.0
132,2021-10-23 13:44:00,1,1,0.1,36.76,24.879,952.077,397.0,1964.0,1613.0,1049.5,109.0,-2168.5,0.0,90.0,17.334,78.441,1.8,1634976823848.0
133,2021-10-23 13:45:00,1,1,0.1,36.89,24.268,952.939,375.0,1778.0,1554.0,1002.0,99.0,-1968.0,0.0,90.0,17.335,78.444,1.6,1634976870259.0
134,2021-10-23 13:46:00,1,1,0.1,37.17,23.677,953.08,354.0,1810.0,1487.0,1007.0,110.0,-2188.0,0.0,90.0,17.336,78.447,1.7,1634976932271.0
135,2021-10-23 13:47:00,1,1,0.1,37.575,23.383,953.216,404.0,2067.5,1632.0,1076.5,99.5,-1986.5,0.0,90.0,17.336,78.448,1.7,1634976978358.0
136,2021-10-23 13:48:00,1,1,0.1,38.19,22.906,953.121,367.5,1869.5,1529.5,1021.0,85.0,-1700.0,0.0,90.0,17.338,78.45,1.65,1634977040400.0
137,2021-10-23 13:49:00,1,1,0.0,38.665,21.621,952.773,418.0,1892.5,1669.0,1029.5,49.5,-990.5,0.0,90.0,17.342,78.45,1.85,1634977102438.5
138,2021-10-23 13:50:00,1,1,0.0,38.95,22.305,953.826,427.5,2021.0,1702.5,1069.0,79.0,-1574.5,0.0,90.0,17.347,78.451,1.65,1634977164272.5
139,2021-10-23 13:51:00,1,1,0.0,39.005,21.326,954.034,399.5,2096.0,1618.0,1085.0,29.0,-315.0,0.0,90.0,17.351,78.453,1.7,1634977226380.5
140,2021-10-23 13:52:00,1,1,0.1,38.815,21.453,955.022,460.0,2083.5,1788.0,1082.5,84.0,-1680.0,0.0,90.0,17.354,78.454,1.65,1634977288294.0
141,2021-10-23 13:53:00,1,1,0.1,39.095,21.082,955.349,450.0,2132.0,1760.0,1091.5,108.0,-2155.5,0.0,90.0,17.355,78.454,1.95,1634977350596.5
