created_at, Monitor ID, Location ID, CO(ppm), PM10(ppm), PM2.5(ppm), SO2(ppm),CO_1,SO2_1,CO_2,SO2_2,Temperature,RH,Pressure
2021-11-02 14:42:00,1,1,0.00, , , ,31.842,0.526,187.789,112.0,31.227,55.207,949.968
2021-11-02 14:43:00,1,1,2.03, , , ,28.842,0.526,170.947,122.947,33.501,49.999,949.49
2021-11-02 14:44:00,1,1,2.04, , , ,34.611,0.611,152.889,140.444,36.146,44.393,949.463
2021-11-02 14:45:00,1,1,3.14, , , ,47.706,0.176,128.941,138.353,34.266,47.153,949.047
2021-11-02 14:46:00,1,1,7.48, , , ,50.308,0.154,157.538,119.385,31.815,52.747,949.32
2021-11-02 14:57:00,1,1,3.02, , , ,86.111,0.0,108.444,21.333,29.504,59.925,947.963
2021-11-02 14:58:00,1,1,4.61, , , ,90.263,0.105,106.947,127.158,29.688,59.109,947.92
2021-11-02 14:59:00,1,1,7.59, , , ,117.474,0.158,90.947,117.053,29.653,59.329,947.924
2021-11-02 15:00:00,1,1,6.07, , , ,138.474,-0.158,120.421,96.0,28.681,62.328,947.417
2021-11-02 15:01:00,1,1,5.57, , , ,156.65,-0.1,127.2,96.0,28.325,63.227,946.995
2021-11-02 15:02:00,1,1,7.40, , , ,174.105,0.0,142.316,95.158,28.228,63.273,946.773
2021-11-02 15:03:00,1,1,6.87, , , ,190.579,0.0,144.0,87.579,27.885,63.989,946.545
2021-11-02 15:04:00,1,1,5.15, , , ,206.105,0.0,144.0,96.0,28.175,64.007,947.001
2021-11-02 15:05:00,1,1,5.67, , , ,220.579,0.105,146.526,84.211,27.617,65.433,946.673
2021-11-02 15:06:00,1,1,4.91, , , ,233.789,0.0,144.0,80.0,27.277,66.258,946.276
2021-11-02 15:07:00,1,1,4.51, , , ,248.35,0.05,140.8,83.2,27.484,65.985,946.723
2021-11-02 15:08:00,1,1,3.05, , , ,261.421,0.105,136.421,82.526,27.353,66.709,946.682
2021-11-02 15:09:00,1,1,5.47, , , ,272.579,0.158,138.947,80.0,27.222,67.31,946.161
2021-11-02 15:10:00,1,1,4.04, , , ,283.789,0.0,139.789,80.0,27.107,67.124,947.139
2021-11-02 15:11:00,1,1,4.76, , , ,294.7,0.15,179.2,92.0,27.526,65.81,947.745
2021-11-02 15:12:00,1,1,4.00, , , ,306.667,0.111,156.444,94.222,28.126,63.885,947.907
2021-11-02 15:13:00,1,1,3.49, , , ,317.368,0.0,154.947,94.316,28.493,62.637,947.774
2021-11-02 15:14:00,1,1,2.61, , , ,331.833,0.222,138.667,96.0,28.333,63.414,947.264
2021-11-02 15:15:00,1,1,2.22, , , ,345.2,0.1,128.0,95.2,28.052,64.206,946.43
2021-11-02 15:16:00,1,1,3.62, , , ,357.684,0.105,112.842,88.421,27.578,65.688,945.665
2021-11-02 15:17:00,1,1,1.33, , , ,367.368,0.0,106.105,81.684,27.312,66.55,945.915
2021-11-02 15:18:00,1,1,1.79, , , ,375.316,0.0,96.0,80.0,27.286,66.574,946.428
2021-11-02 15:19:00,1,1,3.60, , , ,381.81,0.048,96.0,80.762,27.47,65.979,946.481
