Date Time, Monitor ID, Location ID, CO(ppm), PM10(ppm), PM2.5(ppm), SO2(ppm)
02 Nov 2021 14:31,1,1,8.87, , , 
02 Nov 2021 14:32,1,1,7.40, , , 
02 Nov 2021 14:33,1,1,8.78, , , 
02 Nov 2021 14:34,1,1,10.56, , , 
02 Nov 2021 14:35,1,1,12.03, , , 
02 Nov 2021 14:36,1,1,8.58, , , 
02 Nov 2021 14:37,1,1,8.17, , , 
02 Nov 2021 14:38,1,1,6.53, , , 
02 Nov 2021 14:39,1,1,9.66, , , 
02 Nov 2021 14:40,1,1,7.27, , , 
02 Nov 2021 14:41,1,1,0.00, , , 
02 Nov 2021 14:42,1,1,0.00, , , 
02 Nov 2021 14:43,1,1,2.03, , , 
02 Nov 2021 14:44,1,1,2.04, , , 
02 Nov 2021 14:45,1,1,3.14, , , 
02 Nov 2021 14:46,1,1,7.48, , , 
02 Nov 2021 14:47,1,1,8.62, , , 
02 Nov 2021 14:48,1,1,5.95, , , 
02 Nov 2021 14:49,1,1,5.52, , , 
02 Nov 2021 14:50,1,1,4.47, , , 
02 Nov 2021 14:51,1,1,4.34, , , 
02 Nov 2021 14:52,1,1,4.54, , , 
02 Nov 2021 14:53,1,1,3.82, , , 
02 Nov 2021 14:54,1,1,3.19, , , 
02 Nov 2021 14:55,1,1,2.89, , , 
02 Nov 2021 14:56,1,1,2.81, , , 
02 Nov 2021 14:57,1,1,3.02, , , 
02 Nov 2021 14:58,1,1,4.61, , , 
02 Nov 2021 14:59,1,1,7.59, , , 
02 Nov 2021 15:00,1,1,6.07, , , 
02 Nov 2021 15:01,1,1,5.57, , , 
02 Nov 2021 15:02,1,1,7.40, , , 
02 Nov 2021 15:03,1,1,6.87, , , 
02 Nov 2021 15:04,1,1,5.15, , , 
02 Nov 2021 15:05,1,1,5.67, , , 
02 Nov 2021 15:06,1,1,4.91, , , 
02 Nov 2021 15:07,1,1,4.51, , , 
02 Nov 2021 15:08,1,1,3.05, , , 
02 Nov 2021 15:09,1,1,5.47, , , 
02 Nov 2021 15:10,1,1,4.04, , , 
02 Nov 2021 15:11,1,1,4.76, , , 
02 Nov 2021 15:12,1,1,4.00, , , 
02 Nov 2021 15:13,1,1,3.49, , , 
02 Nov 2021 15:14,1,1,2.61, , , 
02 Nov 2021 15:15,1,1,2.22, , , 
02 Nov 2021 15:16,1,1,3.62, , , 
02 Nov 2021 15:17,1,1,1.33, , , 
02 Nov 2021 15:18,1,1,1.79, , , 
02 Nov 2021 15:19,1,1,3.60, , , 
02 Nov 2021 15:40,1,1,0.00, , , 
02 Nov 2021 15:41,1,1,0.00, , , 
02 Nov 2021 15:42,1,1,0.00, , , 
02 Nov 2021 15:43,1,1,0.00, , , 
02 Nov 2021 15:44,1,1,0.00, , , 
02 Nov 2021 15:45,1,1,0.00, , , 
02 Nov 2021 15:46,1,1,0.00, , , 
02 Nov 2021 15:47,1,1,0.00, , , 
02 Nov 2021 15:48,1,1,0.00, , , 
02 Nov 2021 15:49,1,1,0.00, , , 
02 Nov 2021 15:54,1,1, ,0.083,0.047, 
02 Nov 2021 15:55,1,1, ,0.120,0.052, 
02 Nov 2021 15:56,1,1, ,0.063,0.045, 
02 Nov 2021 15:57,1,1, ,0.123,0.049, 
02 Nov 2021 15:58,1,1, ,0.269,0.079, 
02 Nov 2021 15:59,1,1, ,0.089,0.053, 
02 Nov 2021 16:00,1,1, ,0.107,0.059, 
02 Nov 2021 16:01,1,1, ,0.154,0.057, 
02 Nov 2021 16:02,1,1, ,0.115,0.050, 
02 Nov 2021 16:03,1,1, ,0.075,0.044, 
02 Nov 2021 16:04,1,1, ,0.136,0.053, 
02 Nov 2021 16:05,1,1, ,0.088,0.048, 
02 Nov 2021 16:06,1,1, ,0.125,0.055, 
02 Nov 2021 16:07,1,1, ,0.115,0.059, 
02 Nov 2021 16:08,1,1, ,0.076,0.052, 
02 Nov 2021 16:09,1,1, ,0.091,0.054, 
02 Nov 2021 16:10,1,1, ,0.165,0.112, 
02 Nov 2021 16:11,1,1, ,0.159,0.062, 
02 Nov 2021 16:12,1,1, ,0.144,0.060, 
02 Nov 2021 16:13,1,1, ,0.382,0.099, 
02 Nov 2021 16:14,1,1, ,0.064,0.044, 
02 Nov 2021 16:15,1,1, ,0.169,0.077, 
02 Nov 2021 16:16,1,1, ,0.119,0.062, 
02 Nov 2021 16:17,1,1, ,0.093,0.052, 
02 Nov 2021 16:18,1,1, ,0.180,0.053, 
02 Nov 2021 16:19,1,1, ,0.090,0.043, 
02 Nov 2021 16:20,1,1, ,0.044,0.036, 
02 Nov 2021 16:21,1,1, ,0.042,0.035, 
02 Nov 2021 16:22,1,1, ,0.050,0.034, 
02 Nov 2021 16:23,1,1, ,0.053,0.036, 
