time,created_at,latitude,longitude,altitude
2021-11-03 09:33:14,2021-11-03 15:03:14,17.45899138,78.36600427,513.086
2021-11-03 09:33:15,2021-11-03 15:03:15,17.45906347,78.36602101,513.031
2021-11-03 09:33:16,2021-11-03 15:03:16,17.45913142,78.3660331,512.5830000000001
2021-11-03 09:33:17,2021-11-03 15:03:17,17.45919956,78.36604391,512.1519999999999
2021-11-03 09:33:18,2021-11-03 15:03:18,17.45926926,78.36606067,511.917
2021-11-03 09:33:19,2021-11-03 15:03:19,17.45933028,78.36607079,511.8
2021-11-03 09:33:20,2021-11-03 15:03:20,17.45938265,78.36607926,511.86699999999996
2021-11-03 09:33:21,2021-11-03 15:03:21,17.459426999999998,78.36609167,511.464
2021-11-03 09:33:22,2021-11-03 15:03:22,17.45946877,78.36609853,511.20300000000003
2021-11-03 09:33:23,2021-11-03 15:03:23,17.45950299,78.36610821,511.44599999999997
2021-11-03 09:33:24,2021-11-03 15:03:24,17.45954069,78.36611839,512.1030000000001
2021-11-03 09:33:25,2021-11-03 15:03:25,17.45957695,78.36612678,512.256
2021-11-03 09:33:26,2021-11-03 15:03:26,17.45962886,78.36614199,512.521
2021-11-03 09:33:27,2021-11-03 15:03:27,17.45967869,78.36615309,512.453
2021-11-03 09:33:28,2021-11-03 15:03:28,17.45973326,78.36616858,512.24
2021-11-03 09:33:29,2021-11-03 15:03:29,17.45978925,78.36619261,511.647
2021-11-03 09:33:30,2021-11-03 15:03:30,17.4598505,78.36622106,511.974
2021-11-03 09:33:31,2021-11-03 15:03:31,17.45991423,78.36624436,512.341
2021-11-03 09:33:32,2021-11-03 15:03:32,17.45998386,78.36626616,512.622
2021-11-03 09:33:33,2021-11-03 15:03:33,17.46005247,78.36628595,512.607
2021-11-03 09:33:34,2021-11-03 15:03:34,17.46011668,78.3663053,512.231
2021-11-03 09:33:35,2021-11-03 15:03:35,17.46018308,78.36633079,511.68300000000005
2021-11-03 09:33:36,2021-11-03 15:03:36,17.460242899999997,78.36635988,511.665
2021-11-03 09:33:37,2021-11-03 15:03:37,17.460310699999997,78.36638972,512.013
2021-11-03 09:33:38,2021-11-03 15:03:38,17.46038285,78.36641934,512.1619999999999
2021-11-03 09:33:39,2021-11-03 15:03:39,17.46045476,78.36644989,512.077
2021-11-03 09:33:40,2021-11-03 15:03:40,17.46052186,78.36647940000002,511.745
2021-11-03 09:33:41,2021-11-03 15:03:41,17.460588199999997,78.36650797,511.756
2021-11-03 09:33:42,2021-11-03 15:03:42,17.46065567,78.36654085,512.104
2021-11-03 09:33:43,2021-11-03 15:03:43,17.46071649,78.36657175,512.553
2021-11-03 09:33:44,2021-11-03 15:03:44,17.46077805,78.36660336,512.491
2021-11-03 09:33:45,2021-11-03 15:03:45,17.46084068,78.36663667,512.063
2021-11-03 09:33:46,2021-11-03 15:03:46,17.46090516,78.36667029,511.651
2021-11-03 09:33:47,2021-11-03 15:03:47,17.46096658,78.36670052,511.485
2021-11-03 09:33:48,2021-11-03 15:03:48,17.46103057,78.36673448,511.44599999999997
2021-11-03 09:33:49,2021-11-03 15:03:49,17.46109024,78.36676661,510.92
2021-11-03 09:33:50,2021-11-03 15:03:50,17.46114973,78.36679673,511.08
2021-11-03 09:33:51,2021-11-03 15:03:51,17.46120669,78.3668266,511.125
2021-11-03 09:33:52,2021-11-03 15:03:52,17.46126813,78.36685669,511.20599999999996
2021-11-03 09:33:53,2021-11-03 15:03:53,17.46132936,78.36688333,511.33099999999996
2021-11-03 09:33:54,2021-11-03 15:03:54,17.46139589,78.36690307,511.904
2021-11-03 09:33:55,2021-11-03 15:03:55,17.4614635,78.3669215,512.431
2021-11-03 09:33:56,2021-11-03 15:03:56,17.46153217,78.36693086,512.299
2021-11-03 09:33:57,2021-11-03 15:03:57,17.46160523,78.36694059999999,511.01
2021-11-03 09:33:58,2021-11-03 15:03:58,17.46167424,78.36694804,510.394
2021-11-03 09:33:59,2021-11-03 15:03:59,17.4617411,78.36694557,510.35
2021-11-03 09:34:00,2021-11-03 15:04:00,17.46179414,78.36695403,510.195
2021-11-03 09:34:01,2021-11-03 15:04:01,17.46184869,78.36695276,509.852
2021-11-03 09:34:02,2021-11-03 15:04:02,17.46187877,78.36695609,509.838
2021-11-03 09:34:03,2021-11-03 15:04:03,17.46191831,78.3669554,509.667
2021-11-03 09:34:04,2021-11-03 15:04:04,17.46194008,78.36696198,509.772
2021-11-03 09:34:05,2021-11-03 15:04:05,17.4619689,78.36695972,510.23900000000003
2021-11-03 09:34:06,2021-11-03 15:04:06,17.46197623,78.36695615,509.509
2021-11-03 09:34:07,2021-11-03 15:04:07,17.461992000000002,78.36694788,509.13199999999995
2021-11-03 09:34:08,2021-11-03 15:04:08,17.46200426,78.36694122,507.406
2021-11-03 09:34:09,2021-11-03 15:04:09,17.46201001,78.36694255,507.537
2021-11-03 09:34:10,2021-11-03 15:04:10,17.46200973,78.36694158,506.895
2021-11-03 09:34:11,2021-11-03 15:04:11,17.46200772,78.36693851,506.591
2021-11-03 09:34:12,2021-11-03 15:04:12,17.46200773,78.3669348,506.63800000000003
2021-11-03 09:34:13,2021-11-03 15:04:13,17.462007500000002,78.36693139,506.556
2021-11-03 09:34:14,2021-11-03 15:04:14,17.4620054,78.36692899,506.366
2021-11-03 09:34:15,2021-11-03 15:04:15,17.46200422,78.36692576,506.494
2021-11-03 09:34:16,2021-11-03 15:04:16,17.46200963,78.36692641,506.80199999999996
2021-11-03 09:34:17,2021-11-03 15:04:17,17.4620143,78.36692635,506.666
2021-11-03 09:34:18,2021-11-03 15:04:18,17.46201809,78.36692557,506.81800000000004
2021-11-03 09:34:19,2021-11-03 15:04:19,17.46201987,78.36692325,507.009
2021-11-03 09:34:20,2021-11-03 15:04:20,17.46202115,78.3669218,507.18199999999996
2021-11-03 09:34:21,2021-11-03 15:04:21,17.4620226,78.36691946,507.0
2021-11-03 09:34:22,2021-11-03 15:04:22,17.46202499,78.36691862,507.245
2021-11-03 09:34:23,2021-11-03 15:04:23,17.46202659,78.36691812,507.42199999999997
2021-11-03 09:34:24,2021-11-03 15:04:24,17.46202747,78.36691826,507.599
2021-11-03 09:34:25,2021-11-03 15:04:25,17.46203115,78.36692488,507.233
2021-11-03 09:34:26,2021-11-03 15:04:26,17.46203352,78.36692939,507.06300000000005
2021-11-03 09:34:27,2021-11-03 15:04:27,17.46203596,78.36693298,507.102
2021-11-03 09:34:28,2021-11-03 15:04:28,17.46203783,78.36693516,507.22
2021-11-03 09:34:29,2021-11-03 15:04:29,17.46203906,78.36693682,507.185
2021-11-03 09:34:30,2021-11-03 15:04:30,17.46204015,78.36693852,507.24199999999996
2021-11-03 09:34:31,2021-11-03 15:04:31,17.46204103,78.36693978,507.278
2021-11-03 09:34:32,2021-11-03 15:04:32,17.46204196,78.36694103,507.334
2021-11-03 09:34:33,2021-11-03 15:04:33,17.46204292,78.36694238,507.412
2021-11-03 09:34:34,2021-11-03 15:04:34,17.46204397,78.36694389,507.472
2021-11-03 09:34:35,2021-11-03 15:04:35,17.46204532,78.3669456,507.592
2021-11-03 09:34:36,2021-11-03 15:04:36,17.46204565,78.36694612,507.545
2021-11-03 09:34:37,2021-11-03 15:04:37,17.462046899999997,78.36694736,507.635
2021-11-03 09:34:38,2021-11-03 15:04:38,17.46204768,78.36694796,507.694
2021-11-03 09:34:39,2021-11-03 15:04:39,17.4620484,78.36694877,507.76300000000003
2021-11-03 09:34:40,2021-11-03 15:04:40,17.46204949,78.36694969,507.80699999999996
2021-11-03 09:34:41,2021-11-03 15:04:41,17.46204981,78.36695003,507.793
2021-11-03 09:34:42,2021-11-03 15:04:42,17.46204998,78.36695026,507.80699999999996
2021-11-03 09:34:43,2021-11-03 15:04:43,17.46205141,78.36695122,507.99800000000005
2021-11-03 09:34:44,2021-11-03 15:04:44,17.46205189,78.36695155,507.98800000000006
2021-11-03 09:34:45,2021-11-03 15:04:45,17.46205259,78.36695196,508.07300000000004
2021-11-03 09:34:46,2021-11-03 15:04:46,17.4620532,78.36695269,508.184
2021-11-03 09:34:47,2021-11-03 15:04:47,17.46205318,78.36695275,508.156
2021-11-03 09:34:48,2021-11-03 15:04:48,17.46205311,78.36695272,508.135
2021-11-03 09:34:49,2021-11-03 15:04:49,17.46205347,78.36695274,508.20099999999996
2021-11-03 09:34:51,2021-11-03 15:04:51,17.46205415,78.36695319,508.278
2021-11-03 09:34:52,2021-11-03 15:04:52,17.46205382,78.36695302,508.276
2021-11-03 09:34:53,2021-11-03 15:04:53,17.46205384,78.36695306,508.26
2021-11-03 09:34:54,2021-11-03 15:04:54,17.462053899999997,78.36695309,508.256
2021-11-03 09:34:55,2021-11-03 15:04:55,17.462054000000002,78.36695315,508.25699999999995
2021-11-03 09:34:56,2021-11-03 15:04:56,17.46205372,78.36695304,508.274
2021-11-03 09:34:57,2021-11-03 15:04:57,17.46205366,78.36695302,508.264
2021-11-03 09:34:58,2021-11-03 15:04:58,17.46205377,78.36695322,508.31699999999995
2021-11-03 09:34:59,2021-11-03 15:04:59,17.46205365,78.36695318,508.31300000000005
2021-11-03 09:35:00,2021-11-03 15:05:00,17.4620536,78.36695314,508.31
2021-11-03 09:35:01,2021-11-03 15:05:01,17.46205366,78.36695306,508.338
2021-11-03 09:35:02,2021-11-03 15:05:02,17.46205343,78.36695282,508.335
2021-11-03 09:35:03,2021-11-03 15:05:03,17.46205341,78.36695277,508.33099999999996
2021-11-03 09:35:04,2021-11-03 15:05:04,17.46205319,78.36695255,508.342
2021-11-03 09:35:05,2021-11-03 15:05:05,17.46205292,78.36695228,508.347
2021-11-03 09:35:06,2021-11-03 15:05:06,17.46205263,78.36695197,508.35400000000004
2021-11-03 09:35:07,2021-11-03 15:05:07,17.46205258,78.36695185,508.35900000000004
2021-11-03 09:35:08,2021-11-03 15:05:08,17.46205273,78.36695164,508.449
2021-11-03 09:35:09,2021-11-03 15:05:09,17.46205284,78.36695163,508.45
2021-11-03 09:35:10,2021-11-03 15:05:10,17.46205281,78.36695154,508.45
2021-11-03 09:35:11,2021-11-03 15:05:11,17.46205273,78.36695146,508.44300000000004
2021-11-03 09:35:12,2021-11-03 15:05:12,17.46205271,78.36695145,508.45
2021-11-03 09:35:13,2021-11-03 15:05:13,17.46205268,78.36695142,508.445
2021-11-03 09:35:14,2021-11-03 15:05:14,17.46205267,78.36695137,508.444
2021-11-03 09:35:15,2021-11-03 15:05:15,17.46205275,78.36695134,508.455
2021-11-03 09:35:16,2021-11-03 15:05:16,17.46205285,78.36695142,508.477
2021-11-03 09:35:17,2021-11-03 15:05:17,17.46205288,78.36695143,508.47900000000004
2021-11-03 09:35:18,2021-11-03 15:05:18,17.46205301,78.36695151,508.51099999999997
2021-11-03 09:35:19,2021-11-03 15:05:19,17.46205291,78.36695179,508.45300000000003
2021-11-03 09:35:20,2021-11-03 15:05:20,17.46205289,78.36695184,508.45300000000003
2021-11-03 09:35:21,2021-11-03 15:05:21,17.46205306,78.36695181,508.496
2021-11-03 09:35:22,2021-11-03 15:05:22,17.46205291,78.3669518,508.45099999999996
2021-11-03 09:35:23,2021-11-03 15:05:23,17.46205362,78.36695173,508.615
2021-11-03 09:35:24,2021-11-03 15:05:24,17.46205439,78.36695157,508.772
2021-11-03 09:35:25,2021-11-03 15:05:25,17.46205538,78.36695205,508.912
2021-11-03 09:35:26,2021-11-03 15:05:26,17.46205546,78.36695239,508.852
2021-11-03 09:35:27,2021-11-03 15:05:27,17.46205509,78.36695258,508.73800000000006
2021-11-03 09:35:28,2021-11-03 15:05:28,17.46205517,78.36695288,508.72
2021-11-03 09:35:29,2021-11-03 15:05:29,17.46205552,78.3669532,508.73
2021-11-03 09:35:30,2021-11-03 15:05:30,17.46205575,78.36695332,508.73699999999997
2021-11-03 09:35:31,2021-11-03 15:05:31,17.46205636,78.36695373,508.83
2021-11-03 09:35:32,2021-11-03 15:05:32,17.46205655,78.36695378,508.847
2021-11-03 09:35:33,2021-11-03 15:05:33,17.46205704,78.36695387,508.94300000000004
2021-11-03 09:35:34,2021-11-03 15:05:34,17.46205723,78.36695385,508.963
2021-11-03 09:35:35,2021-11-03 15:05:35,17.46205741,78.36695405,509.031
2021-11-03 09:35:36,2021-11-03 15:05:36,17.46205777,78.36695436,509.088
2021-11-03 09:35:37,2021-11-03 15:05:37,17.46205842,78.36695505,509.26
2021-11-03 09:35:38,2021-11-03 15:05:38,17.46205972,78.36695668,509.54699999999997
2021-11-03 09:35:39,2021-11-03 15:05:39,17.462060100000002,78.36695706,509.565
2021-11-03 09:35:40,2021-11-03 15:05:40,17.46206036,78.36695756,509.647
2021-11-03 09:35:41,2021-11-03 15:05:41,17.46206066,78.36695782,509.684
2021-11-03 09:35:42,2021-11-03 15:05:42,17.46206116,78.36695821,509.759
2021-11-03 09:35:43,2021-11-03 15:05:43,17.46206182,78.36695894,509.87699999999995
