Epoch date,GMT,Temperature,Humidity,Pressure_hpa,CO_mega_ppb,CO_mega_ppm,NO2_mega_ppb,NO2_mega_ppm,Ozone_ppm,Latitude,Longitude
1627378341,27-07-2021 09:32,36.52000046,38.6969986,944.6842041,699,0.699,2717,2.717,100,17.43949333,78.48188333
1627378372,27-07-2021 09:32,36.63999939,38.22800064,944.9158936,588,0.588,2539,2.539,63,17.43833,78.48163667
1627378403,27-07-2021 09:33,36.75999832,37.9659996,944.9804077,558,0.558,2450,2.45,77,17.43686667,78.48225
1627378435,27-07-2021 09:33,36.86000061,39.02099991,944.8356934,631,0.631,2667,2.667,56,17.43581,78.48324667
1627378435,27-07-2021 09:33,36.86000061,39.02099991,944.8356934,631,0.631,2667,2.667,56,17.43581,78.48324667
1627378465,27-07-2021 09:34,36.88999939,37.28900146,944.972229,531,0.531,2357,2.357,34,17.43477167,78.484305
1627378497,27-07-2021 09:34,36.93999863,37.35400009,944.9365845,633,0.633,2617,2.617,49,17.433855,78.48526667
1627378528,27-07-2021 09:35,36.93000031,36.33100128,944.8596802,539,0.539,2310,2.31,37,17.43374667,78.48585
1627378528,27-07-2021 09:35,36.93000031,36.33100128,944.8596802,539,0.539,2310,2.31,37,17.43374667,78.48585
1627378559,27-07-2021 09:35,36.90999985,37.01900101,944.7357788,581,0.581,2417,2.417,76,17.43374667,78.48585
1627378590,27-07-2021 09:36,36.88999939,37.60900116,944.7416992,594,0.594,2503,2.503,54,17.43374667,78.48585
1627378620,27-07-2021 09:37,36.90999985,37.42499924,944.7570801,623,0.623,2532,2.532,77,17.43320167,78.48591667
1627378652,27-07-2021 09:37,36.95000076,37.54000092,944.7935181,655,0.655,2603,2.603,68,17.43374667,78.48624333
1627378683,27-07-2021 09:38,36.97000122,37.52899933,944.7233887,576,0.576,2507,2.507,68,17.43349167,78.486205
1627378713,27-07-2021 09:38,37.00999832,37.92599869,944.7484741,625,0.625,2542,2.542,56,17.4332,78.487255
1627378744,27-07-2021 09:39,37.02999878,39.77399826,944.6138916,745,0.745,2796,2.796,77,17.433135,78.48722833
1627378775,27-07-2021 09:39,37.06000137,40.0340004,944.7138062,749,0.749,2957,2.957,77,17.43322,78.48720333
