,Date Time, Monitor ID, Location ID, NO2(ppm),NO2_ppb,data.temp_c,data.hum_prcnt,data.press_hpa,data.eq_db,data.onesmin_db,data.onesmax_db,data.co_ppm,data.no2_ppb,data.co_mv,data.no2_mv,data.x_g,data.y_g,data.z_g,data.x_raw,data.y_raw,data.z_raw,data.lux_lx,data.uv_mwpm2,data.nc0p5_npcm3,data.nc1p0_npcm3,data.nc2p5_npcm3,data.nc4p0_npcm3,data.nc10p0_npcm3,data.mc1p0_ugpm3,data.mc2p5_ugpm3,data.mc4p0_ugpm3,data.mc10p0_ugpm3,data.typ_pm_um,data.ozone_ppm,data.ozone_volt_mv,data.tvoc_ppb,data.batt_prcnt,data.batt_volt,data.bme280_int,data.speco3_int,data.mic_int,data.mic4514_int,data.mic4514pre_int,data.sgpc3_int,data.sps30_int,data.sps30pre_int,data.lis3dh_int,data.si1133_int,data.batt_int,data.leds_on,data.code_version,data.gps_avg_snr,data.cell_strength_dbm,data.wifi_strength_dbm,data.wifi_strength_asl,data.location.lat,data.location.lon,data.location.acc,data.timestamp
1269,2021-06-23 08:05:00,1,1,0.012,12,34.24,39.095,940.587,41.931,41.471,42.572,546.0,2617.0,2027.0,1230.0,0.0,-0.016,-0.048,64512.0,256.0,64768.0,38.617,0.078,46.89,54.319,55.095,55.25,55.284,6.908,7.923,8.424,8.524,0.625,8.0,-159.0,0.0,37.0,3407.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-58.0,4.0,17.445,78.35,13.188,1624415749506.0
1276,2021-06-23 08:12:00,1,1,0.011000000000000001,11,34.25,39.12,940.709,41.383,40.789,42.073,544.0,2607.0,2031.0,1229.0,0.016,0.0,0.064,256.0,0.0,1024.0,42.172,0.031,45.528,53.256,54.361,54.584,54.627,6.819,8.146,8.903,9.055,0.648,7.0,-142.0,0.0,37.0,3403.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-58.0,4.0,17.445,78.35,13.188,1624416129816.0
1282,2021-06-23 08:18:00,1,1,0.013000000000000001,13,34.27,39.158,940.671,41.468,40.724,41.975,545.0,2607.0,2028.0,1229.0,0.032,0.0,0.048,512.0,0.0,768.0,46.709,0.51,42.555,49.894,51.005,51.23,51.272,6.399,7.715,8.483,8.637,0.664,4.0,-84.0,0.0,37.0,3414.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-58.0,4.0,17.445,78.35,13.188,1624416507581.0
1289,2021-06-23 08:25:00,1,1,0.011000000000000001,11,34.29,39.184,940.699,40.906,40.432,41.43,544.0,2614.0,2024.0,1228.0,0.016,0.0,-0.128,256.0,0.0,63488.0,40.392,0.172,47.268,56.014,57.655,57.988,58.047,7.236,9.093,10.259,10.493,0.679,10.0,-203.0,0.0,36.0,3395.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-58.0,4.0,17.445,78.35,13.188,1624416931132.0
1295,2021-06-23 08:31:00,1,1,0.01,10,34.3,39.16,940.748,40.544,40.051,41.014,544.0,2592.0,2026.0,1225.0,0.0,-0.016,0.048,0.0,65280.0,768.0,38.98,0.023,47.741,55.655,56.684,56.891,56.932,7.109,8.375,9.068,9.207,0.635,10.0,-192.0,0.0,36.0,3401.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-58.0,4.0,17.445,78.35,13.188,1624417299023.0
1301,2021-06-23 08:37:00,1,1,0.009000000000000001,9,34.31,39.197,940.73,40.926,40.194,42.464,544.0,2614.0,2026.0,1228.0,0.0,-0.016,-0.128,0.0,65280.0,63488.0,48.447,0.387,43.1,50.978,52.409,52.699,52.751,6.577,8.206,9.219,9.422,0.68,10.0,-191.0,0.0,35.0,3390.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-58.0,4.0,17.445,78.35,13.188,1624417664806.0
1309,2021-06-23 08:45:00,1,1,0.011000000000000001,11,34.33,39.224,940.831,40.683,40.098,41.294,545.0,2614.0,2023.0,1231.0,0.0,0.016,0.0,0.0,256.0,0.0,41.615,0.094,51.385,60.386,61.824,62.115,62.169,7.757,9.439,10.44,10.641,0.666,7.0,-144.0,0.0,35.0,3368.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-58.0,4.0,17.445,78.35,13.188,1624418156413.0
1318,2021-06-23 08:54:00,1,1,0.009000000000000001,9,34.35,39.201,940.877,40.637,40.114,41.135,544.0,2621.0,2029.0,1232.0,-0.016,0.016,0.064,65280.0,256.0,1024.0,41.445,0.533,42.817,50.074,51.106,51.315,51.355,6.411,7.652,8.358,8.499,0.647,12.0,-246.0,0.0,33.0,3350.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-58.0,4.0,17.445,78.35,13.188,1624418651969.0
1328,2021-06-23 09:04:00,1,1,0.01,10,34.38,39.229,940.948,40.536,39.883,41.041,546.0,2614.0,2029.0,1231.0,-0.016,-0.016,-0.112,65280.0,65280.0,63744.0,41.735,0.008,43.674,51.193,52.326,52.555,52.598,6.564,7.908,8.69,8.846,0.642,8.0,-167.0,0.0,32.0,3325.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-58.0,4.0,17.445,78.35,13.188,1624419254027.0
1335,2021-06-23 09:11:00,1,1,0.009000000000000001,9,34.39,39.229,940.987,40.141,39.4,40.671,546.0,2617.0,2025.0,1233.0,0.048,-0.016,-0.064,768.0,65280.0,64512.0,41.82,0.117,44.576,51.724,52.521,52.681,52.715,6.586,7.608,8.129,8.233,0.618,15.0,-300.0,0.0,30.0,3325.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-58.0,4.0,17.445,78.35,13.188,1624419675641.0
1340,2021-06-23 09:16:00,1,1,0.01,10,34.4,39.194,941.024,40.274,39.642,40.797,543.0,2607.0,2023.0,1227.0,0.032,0.0,-0.096,512.0,0.0,64000.0,39.132,0.295,48.694,56.676,57.664,57.863,57.903,7.232,8.463,9.123,9.255,0.658,2.0,-47.0,0.0,29.0,3307.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-58.0,4.0,17.445,78.35,13.188,1624420005654.0
1346,2021-06-23 09:22:00,1,1,0.01,10,34.41,39.207,941.151,40.934,40.331,41.453,538.0,2560.0,2006.0,1222.0,-0.048,0.032,0.032,64768.0,512.0,512.0,38.082,0.156,48.504,56.43,57.398,57.592,57.632,7.198,8.409,9.053,9.182,0.623,8.0,-162.0,0.0,28.0,3294.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-58.0,4.0,17.445,78.35,13.188,1624420367616.0
1352,2021-06-23 09:28:00,1,1,0.01,10,34.41,39.182,941.143,40.38,39.526,40.953,534.0,2525.0,1993.0,1209.0,-0.016,-0.016,-0.048,65280.0,65280.0,64768.0,37.824,0.318,44.113,51.702,52.841,53.072,53.115,6.629,7.981,8.768,8.925,0.665,0.0,-1.0,0.0,27.0,3251.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-58.0,4.0,17.445,78.35,13.188,1624420722218.0
1358,2021-06-23 09:34:00,1,1,0.008,8,34.42,39.207,941.141,40.224,39.433,40.994,529.0,2500.0,1984.0,1201.0,-0.016,0.016,-0.112,65280.0,256.0,63744.0,38.77,0.318,45.339,53.847,55.501,55.837,55.896,6.966,8.826,10.007,10.243,0.706,0.0,2.0,0.0,25.0,3260.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-58.0,4.0,17.445,78.35,13.188,1624421054422.5
1365,2021-06-23 09:41:00,1,1,0.012,12,34.35,39.761,941.187,43.725,42.654,44.337,518.0,2428.0,1953.0,1182.0,-0.048,-0.032,0.0,64768.0,65024.0,0.0,47.412,0.187,46.259,54.578,56.019,56.311,56.364,7.029,8.687,9.702,9.905,0.68,0.0,7.0,0.0,23.0,3234.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-56.0,4.0,17.445,78.35,13.188,1624421464226.0
1376,2021-06-23 09:52:00,1,1,0.025,25,33.57,33.457,941.286,49.209,48.185,50.447,503.0,2221.0,1902.0,1122.0,-0.016,0.016,0.016,65280.0,256.0,256.0,45.629,0.395,42.173,49.432,50.524,50.745,50.787,6.338,7.634,8.388,8.539,0.656,0.0,1086.0,0.0,20.0,3191.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-56.0,4.0,17.445,78.35,13.188,1624422177360.0
1385,2021-06-23 10:01:00,1,1,0.021,21,32.82,29.987,941.183,50.736,47.136,55.369,490.0,2082.0,1867.0,1085.0,0.016,0.0,-0.048,256.0,0.0,64768.0,44.407,0.226,42.161,48.925,49.68,49.832,49.864,6.23,7.199,7.693,7.792,0.631,0.0,918.0,0.0,17.0,3170.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-56.0,4.0,17.445,78.35,13.188,1624422674003.5
1393,2021-06-23 10:09:00,1,1,0.022000000000000002,22,32.28,29.248,941.19,49.406,47.705,54.223,477.0,1964.0,1829.0,1053.0,0.0,0.0,-0.016,0.0,0.0,65280.0,43.409,0.031,36.569,42.716,43.562,43.732,43.765,5.464,6.489,7.065,7.18,0.661,0.0,355.0,0.0,15.0,3128.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-56.0,4.0,17.445,78.35,13.188,1624423146160.5
1405,2021-06-23 10:21:00,1,1,0.011000000000000001,11,31.76,32.125,941.227,46.799,43.027,55.151,463.0,1885.0,1799.0,1023.0,-0.016,-0.016,0.048,65280.0,65280.0,768.0,47.325,0.349,40.736,48.013,49.25,49.5,49.546,6.18,7.607,8.475,8.649,0.654,39.0,-785.0,0.0,11.0,3073.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-56.0,4.0,17.445,78.35,13.188,1624423880462.0
1408,2021-06-23 10:24:00,1,1,0.015,15,31.79,33.751,941.307,44.399,42.866,47.62,460.0,1867.0,1788.0,1027.0,0.048,0.0,0.016,768.0,0.0,256.0,44.451,0.75,42.71,50.105,51.24,51.47,51.513,6.428,7.769,8.555,8.712,0.654,43.0,-858.0,0.0,10.0,3065.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-56.0,4.0,17.445,78.35,13.188,1624424046891.0
1415,2021-06-23 10:31:00,1,1,0.015,15,31.66,34.214,941.257,45.036,44.143,45.638,450.0,1792.0,1761.0,1002.0,-0.016,-0.016,-0.144,65280.0,65280.0,63232.0,42.909,0.51,40.752,47.699,48.708,48.911,48.95,6.11,7.317,8.01,8.148,0.656,23.0,-460.0,0.0,8.0,3041.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-56.0,4.0,17.445,78.35,13.188,1624424471495.0
1423,2021-06-23 10:39:00,1,1,0.015,15,31.46,32.915,941.224,44.654,44.101,45.27,439.0,1682.0,1732.0,975.0,-0.016,0.0,-0.176,65280.0,0.0,62720.0,41.188,0.062,118.704,136.863,138.388,138.69,138.762,17.349,19.49,20.416,20.601,0.655,7.0,-135.0,0.0,4.0,2999.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-56.0,4.0,17.445,78.35,13.188,1624424960043.5
1429,2021-06-23 10:45:00,1,1,0.013999999999999999,14,31.35,33.476,941.237,48.183,47.434,50.552,429.0,1596.0,1698.0,946.0,0.0,0.0,-0.016,0.0,0.0,65280.0,39.568,0.365,104.385,120.317,121.633,121.894,121.956,15.249,17.107,17.902,18.061,0.594,10.0,-208.0,0.0,1.0,2949.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-56.0,4.0,17.445,78.35,13.188,1624425344963.5
1432,2021-06-23 10:48:00,1,1,0.013999999999999999,14,31.3,34.066,941.259,45.927,44.849,46.576,422.0,1571.0,1684.0,937.0,0.016,0.0,-0.128,256.0,0.0,63488.0,38.051,0.797,100.645,115.723,116.798,117.01,117.064,14.641,16.245,16.862,16.985,0.616,19.0,-384.0,0.0,0.0,2929.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-56.0,4.0,17.445,78.35,13.188,1624425525445.5
1436,2021-06-23 10:52:00,1,1,0.015,15,31.26,33.966,941.14,52.673,46.663,63.27,412.0,1482.0,1655.0,916.0,0.064,-0.032,0.016,1024.0,65024.0,256.0,46.079,0.47,96.475,111.496,112.914,113.197,113.26,14.157,16.071,16.962,17.14,0.628,12.0,-234.0,0.0,0.0,2903.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-56.0,4.0,17.445,78.35,13.188,1624425736660.5
1443,2021-06-23 10:59:00,1,1,0.019,19,30.25,36.716,941.166,47.072,44.839,53.527,491.0,1421.0,1873.0,905.0,-0.032,0.016,-0.048,33152.0,32768.0,64768.0,34.077,0.047,85.218,98.382,99.563,99.798,99.852,12.483,14.104,14.835,14.982,0.604,15.5,-309.0,0.0,0.0,2815.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.578,,-56.0,4.0,17.445,78.35,13.188,1624426162918.5
1601,2021-06-23 13:37:00,1,1,0.013999999999999999,14,27.135,46.249,939.948,41.239,39.075,47.842,451.5,3449.5,1768.0,1465.5,0.032,0.0,0.024,512.0,128.0,33152.0,44.674,0.368,44.308,51.08,51.644,51.756,51.783,6.474,7.957,8.417,8.507,0.633,76.5,-1521.5,0.0,20.5,3278.5,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,27.6,,-57.0,4.0,17.445,78.35,13.688,1624435637590.5
1602,2021-06-23 13:38:00,1,1,0.013000000000000001,13,30.795,39.265,939.896,39.452,39.135,39.741,462.0,2391.0,1796.0,1170.5,-0.04,-0.016,-0.056,32128.0,32512.0,64640.0,39.175,0.279,46.515,54.404,55.528,55.755,55.799,6.965,8.317,9.086,9.24,0.673,95.5,-1907.0,0.0,22.5,3342.5,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,27.6,,-57.0,4.0,17.445,78.35,13.688,1624435699699.0
1603,2021-06-23 13:39:00,1,1,0.012,12,32.24,36.597,939.908,39.442,39.055,39.971,470.0,2328.0,1819.5,1148.5,0.0,0.024,-0.048,32768.0,384.0,64768.0,39.254,0.673,45.625,53.35,54.445,54.666,54.709,6.83,8.147,8.896,9.045,0.664,134.0,-2680.0,0.0,26.0,3401.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,27.6,,-57.0,4.0,17.445,78.35,13.688,1624435761612.5
1604,2021-06-23 13:40:00,1,1,0.011000000000000001,11,33.225,34.799,939.889,39.545,39.143,39.894,479.5,2303.5,1842.0,1148.0,0.024,0.0,0.016,384.0,0.0,256.0,39.632,0.086,47.57,55.691,56.877,57.116,57.162,7.135,8.552,9.367,9.53,0.672,143.0,-2854.0,0.0,30.0,3443.5,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,27.6,,-57.0,4.0,17.445,78.35,13.688,1624435823526.0
1605,2021-06-23 13:41:00,1,1,0.011000000000000001,11,33.935,33.496,939.917,39.772,39.172,41.612,484.0,2310.0,1857.5,1146.5,-0.048,-0.008,-0.072,64768.0,32640.0,31616.0,39.472,0.462,45.521,53.417,54.637,54.884,54.93,6.855,8.293,9.139,9.308,0.685,136.0,-2718.0,0.0,34.0,3481.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,27.6,,-57.0,4.0,17.445,78.35,13.688,1624435885730.5
1606,2021-06-23 13:42:00,1,1,0.013999999999999999,14,34.46,32.602,939.871,39.76,39.425,40.023,490.5,2317.5,1872.0,1150.5,-0.024,0.0,0.064,65152.0,0.0,1024.0,39.597,0.371,42.762,50.429,51.745,52.012,52.061,6.493,8.01,8.936,9.121,0.705,108.0,-2156.0,0.0,38.5,3500.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,27.6,,-57.0,4.0,17.445,78.35,13.688,1624435947935.5
1607,2021-06-23 13:43:00,1,1,0.013000000000000001,13,34.87,31.869,939.843,40.132,39.589,41.678,495.0,2317.5,1888.5,1155.0,-0.04,-0.008,-0.008,32128.0,32640.0,32640.0,39.632,0.433,43.437,51.396,52.851,53.146,53.199,6.633,8.288,9.319,9.525,0.697,76.5,-1534.5,0.0,41.5,3511.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,27.6,,-57.0,4.0,17.445,78.35,13.688,1624436009848.5
1608,2021-06-23 13:44:00,1,1,0.013000000000000001,13,35.14,31.423,939.876,40.676,40.269,41.604,496.0,2321.0,1895.0,1154.0,0.0,-0.032,-0.032,0.0,65024.0,65024.0,39.726,0.502,43.593,51.27,52.517,52.77,52.816,6.589,8.044,8.914,9.088,0.677,54.0,-1085.0,0.0,44.0,3525.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,27.6,,-57.0,4.0,17.445,78.35,13.688,1624436056260.0
1612,2021-06-23 13:48:00,1,1,0.013999999999999999,14,35.66,30.431,939.762,40.022,39.667,40.226,512.0,2367.0,1931.0,1156.0,0.0,0.0,-0.16,0.0,0.0,62976.0,39.94,0.441,42.751,49.988,51.013,51.22,51.26,6.399,7.632,8.333,8.473,0.661,0.0,141.0,0.0,49.0,3564.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,27.6,,-57.0,4.0,17.445,78.35,13.688,1624436321432.0
1617,2021-06-23 13:53:00,1,1,0.016,16,36.03,29.831,939.633,40.352,39.985,40.55,518.0,2403.0,1955.0,1171.0,0.0,0.0,-0.064,0.0,0.0,64512.0,40.259,0.434,40.462,47.374,48.387,48.591,48.63,6.07,7.278,7.974,8.114,0.654,0.0,400.0,0.0,52.0,3617.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,27.6,,-57.0,4.0,17.445,78.35,13.688,1624436584851.0
1624,2021-06-23 14:00:00,1,1,0.012,12,36.81,28.802,939.547,40.65,40.353,41.415,531.0,2457.0,1990.0,1188.0,-0.048,0.0,-0.032,64768.0,0.0,65024.0,40.727,0.302,43.109,50.404,51.436,51.644,51.684,6.452,7.694,8.399,8.54,0.658,0.0,260.0,0.0,55.0,3617.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,27.6,,-57.0,4.0,17.445,78.35,13.688,1624437008391.0
1626,2021-06-23 14:02:00,1,1,0.012,12,37.05,28.498,939.541,40.599,40.186,40.95,535.0,2460.0,1996.0,1192.0,-0.016,0.0,-0.016,65280.0,0.0,65280.0,40.325,0.773,41.952,49.375,50.6,50.848,50.894,6.349,7.772,8.629,8.8,0.675,0.0,81.0,0.0,56.0,3621.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,27.6,,-57.0,4.0,17.445,78.35,13.688,1624437159488.0
1627,2021-06-23 14:03:00,1,1,0.012,12,37.14,28.417,939.554,40.694,40.416,40.921,534.0,2471.0,2000.0,1195.0,0.0,-0.016,-0.048,0.0,65280.0,64768.0,40.602,0.055,42.17,49.72,51.011,51.272,51.32,6.401,7.889,8.797,8.978,0.693,0.0,128.0,0.0,56.0,3639.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,27.6,,-57.0,4.0,17.445,78.35,13.688,1624437228154.0
1629,2021-06-23 14:05:00,1,1,0.012,12,37.32,28.232,939.49,42.51,41.305,45.063,536.0,2507.0,2004.0,1197.0,0.016,0.0,0.0,256.0,0.0,0.0,40.754,0.365,44.009,51.37,52.364,52.564,52.603,6.568,7.779,8.453,8.588,0.657,0.0,199.0,0.0,57.0,3636.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,27.6,,-57.0,4.0,17.445,78.35,13.688,1624437335468.0
1634,2021-06-23 14:10:00,1,1,0.012,12,37.73,27.691,939.52,40.81,40.484,41.16,543.0,2532.0,2021.0,1210.0,-0.016,0.0,-0.176,65280.0,0.0,62720.0,40.486,0.179,39.768,46.203,46.953,47.103,47.134,5.888,6.838,7.333,7.432,0.622,0.0,64.0,0.0,60.0,3703.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,27.6,,-57.0,4.0,17.445,78.35,13.688,1624437645902.0
1641,2021-06-23 14:17:00,1,1,0.011000000000000001,11,38.18,27.201,939.416,41.246,40.706,42.016,549.0,2582.0,2042.0,1221.0,-0.016,0.0,0.096,65280.0,0.0,1536.0,40.263,0.094,43.899,51.066,51.937,52.112,52.148,6.514,7.604,8.184,8.3,0.627,0.0,296.0,0.0,64.0,3729.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,27.6,,-57.0,4.0,17.445,78.35,13.688,1624438065153.0
1646,2021-06-23 14:22:00,1,1,0.013000000000000001,13,38.46,26.946,939.369,42.133,41.529,42.558,554.0,2603.0,2056.0,1223.0,0.032,0.0,-0.096,512.0,0.0,64000.0,40.793,0.187,42.898,49.801,50.583,50.74,50.773,6.343,7.342,7.856,7.959,0.63,0.0,154.0,0.0,66.0,3742.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,27.6,,-57.0,4.0,17.445,78.35,13.688,1624438367088.0
1652,2021-06-23 14:28:00,1,1,0.011000000000000001,11,38.7,26.702,939.379,41.487,40.911,41.996,558.0,2617.0,2066.0,1231.0,-0.016,0.0,0.0,65280.0,0.0,0.0,41.039,0.101,42.491,49.44,50.292,50.464,50.498,6.307,7.371,7.939,8.053,0.63,0.0,197.0,0.0,67.0,3770.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,27.6,,-57.0,4.0,17.445,78.35,13.688,1624438701066.0
1659,2021-06-23 14:35:00,1,1,0.01,10,38.99,26.46,939.195,41.511,40.94,42.086,563.0,2639.0,2080.0,1235.0,0.016,0.016,0.048,256.0,256.0,768.0,40.236,0.502,43.693,51.305,52.499,52.741,52.786,6.587,7.99,8.819,8.985,0.675,0.0,134.0,0.0,70.0,3811.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,27.6,,-57.0,4.0,17.445,78.35,13.688,1624439128395.0
1663,2021-06-23 14:39:00,1,1,0.012,12,39.16,26.297,939.185,41.526,40.889,41.996,565.0,2646.0,2082.0,1241.0,0.016,0.0,0.032,256.0,0.0,512.0,40.587,0.101,46.819,55.415,56.994,57.315,57.372,7.153,8.947,10.067,10.291,0.72,0.0,212.0,0.0,71.0,3839.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,27.6,,-57.0,4.0,17.445,78.35,13.688,1624439390325.0
1670,2021-06-23 14:46:00,1,1,0.01,10,39.38,26.111,939.137,41.418,40.946,41.936,570.0,2667.0,2100.0,1251.0,0.016,-0.032,0.0,256.0,65024.0,0.0,39.94,0.218,39.294,46.127,47.192,47.407,47.448,5.921,7.174,7.913,8.06,0.659,0.0,326.0,0.0,72.0,3854.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,27.6,,-57.0,4.0,17.445,78.35,13.688,1624439789088.0
1676,2021-06-23 14:52:00,1,1,0.008,8,39.56,25.949,938.955,41.258,40.831,41.665,575.0,2707.0,2114.0,1253.0,0.0,0.016,-0.112,0.0,256.0,63744.0,40.384,0.094,42.296,49.291,50.192,50.373,50.409,6.295,7.406,8.012,8.133,0.622,0.0,348.0,0.0,75.0,3883.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,27.6,,-57.0,4.0,17.445,78.35,13.688,1624440152883.0
1678,2021-06-23 14:54:00,1,1,0.012,12,39.63,25.706,938.953,44.607,41.12,51.645,568.0,2621.0,2094.0,1241.0,-0.016,0.0,-0.048,65280.0,0.0,64768.0,49.853,0.457,43.488,50.44,51.202,51.355,51.387,6.421,7.403,7.899,7.998,0.625,0.0,628.0,0.0,76.0,3881.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,0.0,2147483647.0,-62.0,4.0,17.445,78.35,13.091,1624440296874.0
1679,2021-06-23 14:55:00,1,1,0.013999999999999999,14,39.56,25.752,938.982,46.761,44.929,56.836,564.0,2592.0,2079.0,1228.0,-0.064,0.0,-0.016,64512.0,0.0,65280.0,50.675,0.326,38.825,44.989,45.641,45.772,45.8,5.723,6.572,6.994,7.078,0.616,0.0,1161.0,0.0,76.0,3875.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,27.317,,-62.0,4.0,17.445,78.35,14.857,1624440332756.0
1687,2021-06-23 15:03:00,1,1,0.018000000000000002,18,38.42,23.592,938.879,47.052,46.187,50.837,558.0,2446.0,2064.0,1186.0,-0.016,-0.016,-0.064,65280.0,65280.0,64512.0,51.097,0.101,38.645,45.166,46.078,46.262,46.298,5.78,6.881,7.503,7.628,0.632,0.0,972.0,0.0,80.0,3948.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,27.317,,-62.0,4.0,17.445,78.35,14.857,1624440796970.0
1694,2021-06-23 15:10:00,1,1,0.019,19,37.6,22.159,938.76,46.977,46.379,47.553,557.0,2378.0,2064.0,1162.0,-0.048,0.0,0.016,64768.0,0.0,256.0,50.972,0.109,40.878,47.926,48.992,49.208,49.249,6.146,7.41,8.147,8.294,0.642,0.0,832.0,0.0,83.0,3962.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,27.317,,-62.0,4.0,17.445,78.35,14.857,1624441218764.0
