created_at, Monitor ID, Location ID, CO(ppm), PM10(ppm), PM2.5(ppm),CO_1,CO_1_original,SO2_1,CO_2,CO_2_original,SO2_2,Temperature,RH,Pressure,time,latitude,longitude,altitude
06-11-2021 18:54,1,1,18.01, , ,48,48,16,14.8,14.706,2.294,28.764,45.182,949.139,06-11-2021 13:24,17.35927355,78.42599249,436.184
06-11-2021 18:55,1,1,7.65, , ,48,48,16,13.9,13.889,2.778,28.75,45.319,948.616,06-11-2021 13:25,17.35551883,78.42198781,445.419
06-11-2021 18:56,1,1,5.3, , ,48,48,16.941,13.3,13.294,3.235,28.913,45.054,949.289,06-11-2021 13:26,17.35429841,78.42062176,441.296
06-11-2021 18:57,1,1,7.57, , ,48,48,17.778,13.1,13.056,2.722,28.87,44.719,949.747,06-11-2021 13:27,17.35087636,78.41746947,437.445
06-11-2021 18:58,1,1,9.58, , ,48,48,16,10.9,10.824,1.824,28.702,45.116,949.308,06-11-2021 13:28,17.34849454,78.41672632,444.954
06-11-2021 18:59,1,1,8.86, , ,57.6,57.6,17.067,16.6,16.533,2.267,28.72,45.297,948.505,06-11-2021 13:29,17.34509453,78.41613871,453.451
06-11-2021 19:00,1,1,8.44, , ,48,48,20.444,13.2,13.167,1.444,28.365,45.648,947.885,06-11-2021 13:30,17.34240181,78.42126235,447.031
06-11-2021 19:01,1,1,11.31, , ,48,48,18.824,9.8,9.765,1.471,28.068,46.747,948.547,06-11-2021 13:31,17.33790214,78.42583623,444.178
06-11-2021 19:02,1,1,12.91, , ,48,48,18.824,8.5,8.412,1.529,27.648,48.136,948.623,06-11-2021 13:32,17.33244299,78.42680555,447.207
06-11-2021 19:03,1,1,15.56, , ,46,46,17,8.7,8.688,1.25,27.659,47.419,947.652,06-11-2021 13:33,17.32690816,78.4255884,456.636
06-11-2021 19:04,1,1,9.1, , ,48,48,16,8.5,8.5,1.812,27.821,46.946,947.609,06-11-2021 13:34,17.32410486,78.42883078,449.774
06-11-2021 19:05,1,1,12.9, , ,48,48,17.143,8.8,8.786,2.571,27.946,47.555,948.046,06-11-2021 13:35,17.3211928,78.43274261,460.468
06-11-2021 19:06,1,1,8.95, , ,48,48,24.889,12.4,12.389,3,27.882,50.184,947.439,06-11-2021 13:36,17.31865912,78.43637534,466.468
06-11-2021 19:07,1,1,4.25, , ,48,48,18.286,13.9,13.857,2.643,27.554,51.542,946.262,06-11-2021 13:37,17.31636665,78.44060798,474.89
06-11-2021 19:08,1,1,2.82, , ,48,48,20.444,13.5,13.444,2.667,27.451,52.601,946.04,06-11-2021 13:38,17.31459396,78.44539736,470.109
06-11-2021 19:09,1,1,3.94, , ,48,48,20.706,11.6,11.588,3.647,27.511,52.973,946.453,06-11-2021 13:39,17.31570207,78.44793502,471.115
06-11-2021 19:10,1,1,5.37, , ,48,48,18.667,14.8,14.778,4.444,27.579,52.917,946.651,06-11-2021 13:40,17.31588066,78.44844602,469.466
06-11-2021 19:11,1,1,5.36, , ,48,48,18.667,12,12,3.111,27.504,53.131,946.892,06-11-2021 13:41,17.31367205,78.44869585,466.294
06-11-2021 19:12,1,1,5.01, , ,43.6,43.556,21.333,8.2,8.167,2,27.201,54.058,946.901,06-11-2021 13:42,17.30933733,78.44944221,466.029
06-11-2021 19:13,1,1,5.24, , ,32,32,20.444,5.3,5.278,1.889,26.577,56.162,946.692,06-11-2021 13:43,17.30398932,78.45070411,465.206
06-11-2021 19:14,1,1,6.18, , ,32,32,18.667,3.9,3.889,1.833,26.287,57.282,946.285,06-11-2021 13:44,17.29834518,78.45019399,473.011
06-11-2021 19:15,1,1,7.26, , ,32,32,18,3.4,3.312,1.438,26.179,57.559,945.216,06-11-2021 13:45,17.2925949,78.45009265,480.195
06-11-2021 19:16,1,1,7.67, , ,32,32,21,2.9,2.812,1.75,26.099,59.411,944.793,06-11-2021 13:46,17.28878304,78.4532064,487.478
06-11-2021 19:17,1,1,7.08, , ,32,32,-47,2.4,2.375,1.688,25.98,60.424,944.492,06-11-2021 13:47,17.28334654,78.45424539,483.416
06-11-2021 19:18,1,1,6.41, , ,32,32,14.222,1.6,1.556,1.5,25.587,60.914,944.262,06-11-2021 13:48,17.27806074,78.45159103,494.329
06-11-2021 19:19,1,1,5.25, , ,32,32,13.867,1.6,1.533,1.267,25.009,61.877,943.073,06-11-2021 13:49,17.27134074,78.45039302,495.569
06-11-2021 19:20,1,1,4.5, , ,32,32,19.2,1.2,1.2,1.267,24.654,62.818,942.521,06-11-2021 13:50,17.26444089,78.45042516,501.717
06-11-2021 19:21,1,1,4.12, , ,28.5,28.444,17.778,1,0.944,1.333,24.686,63.077,942.109,06-11-2021 13:51,17.25780845,78.45008663,507.801
06-11-2021 19:22,1,1,3.72, , ,28.5,28.444,16.889,0.8,0.722,1.389,24.655,63.308,942.333,06-11-2021 13:52,17.25885669,78.44629542,517.387
06-11-2021 19:23,1,1,4.57, , ,28.5,28.444,16.889,0.8,0.722,2,24.657,63.24,940.526,06-11-2021 13:53,17.25955905,78.44004116,534.703
06-11-2021 19:24,1,1,6.41, , ,25.3,25.263,18.526,0.5,0.474,1.526,24.483,63.674,940.14,06-11-2021 13:54,17.25887707,78.43615658,535.518
06-11-2021 19:25,1,1,8.14, , ,22.3,22.222,19.556,0.8,0.722,1.5,24.287,64.159,939.718,06-11-2021 13:55,17.25891262,78.43170093,538.445
06-11-2021 19:26,1,1,8.09, , ,21.4,21.333,22.222,0.8,0.722,1.167,24.012,65.133,939.332,06-11-2021 13:56,17.25662735,78.43107201,541.658
06-11-2021 19:30,1,1, ,0.1,0.088,-32,-32,-2.667,-0.5,-0.444,1,21.718,76.036,941.105,06-11-2021 14:00,17.24158644,78.42636436,523.615
06-11-2021 19:31,1,1, ,0.098,0.086,-18.7,-18.667,16,-0.3,-0.222,1.389,22.21,73.522,941.662,06-11-2021 14:01,17.24159695,78.42645018,524.317
06-11-2021 19:32,1,1, ,0.092,0.084,-9.8,-9.778,25.778,-0.5,-0.5,1.722,22.438,72.273,941.685,06-11-2021 14:02,17.24160137,78.42645747,526.953
06-11-2021 19:33,1,1, ,0.086,0.079,-0.9,-0.842,32,-0.4,-0.316,1.316,22.526,71.857,941.685,06-11-2021 14:03,17.24159237,78.42646538,525.539
06-11-2021 19:34,1,1, ,0.083,0.075,0,0,32,-0.4,-0.389,1.556,22.613,71.431,941.721,06-11-2021 14:04,17.24159374,78.42646897,527.61
06-11-2021 19:35,1,1, ,0.085,0.081,0,0,32,-0.5,-0.444,1.667,22.767,71.28,941.741,06-11-2021 14:05,17.24155417,78.42648514,525.042
06-11-2021 19:36,1,1, ,0.075,0.067,0,0,32,-0.4,-0.333,2.056,22.878,71.139,941.696,06-11-2021 14:06,17.24158345,78.4265288,523.526
06-11-2021 19:37,1,1, ,0.081,0.068,0.9,0.889,32,-0.4,-0.389,1.722,22.957,70.36,941.528,06-11-2021 14:07,17.24089046,78.42713448,523.168
06-11-2021 19:38,1,1, ,0.08,0.074,11.8,11.789,31.158,-0.6,-0.526,2.263,23.222,69.459,941.564,06-11-2021 14:08,17.24087256,78.43057602,523.129
06-11-2021 19:39,1,1, ,0.109,0.08,16,16,32,0.2,0.118,2.529,23.172,70.178,941.203,06-11-2021 14:09,17.24093566,78.435046,529.568
06-11-2021 19:40,1,1, ,0.099,0.077,14.3,14.222,26.667,0.2,0.167,2.056,22.807,71.447,940.469,06-11-2021 14:10,17.24100428,78.4414493,533.531
06-11-2021 19:41,1,1, ,0.662,0.158,15.2,15.111,19.556,0,0,2.222,23.341,69.202,940.051,06-11-2021 14:11,17.24045564,78.4487387,528.264
06-11-2021 19:42,1,1, ,0.283,0.111,16,16,22.222,0.7,0.611,2.333,23.531,68.579,940.819,06-11-2021 14:12,17.24247854,78.4566771,518.435
06-11-2021 19:43,1,1, ,0.113,0.089,16,16,24,0.4,0.333,2.5,23.601,68.175,941.777,06-11-2021 14:13,17.24581961,78.46040949,522.649
06-11-2021 19:44,1,1, ,0.106,0.088,16,16,10.353,0.4,0.353,2.412,23.721,67.479,941.139,06-11-2021 14:14,17.24867709,78.46495814,530.752
06-11-2021 19:45,1,1, ,0.125,0.093,17.1,17.067,24.533,0.2,0.2,2.933,24.166,65.307,939.884,06-11-2021 14:15,17.25075685,78.47118938,532.811
06-11-2021 19:46,1,1, ,0.114,0.104,18.3,18.286,27.429,0.2,0.143,2,24.314,65.104,941.624,06-11-2021 14:16,17.24925716,78.47343481,521.038
06-11-2021 19:47,1,1, ,0.113,0.103,16,16,30.222,0.4,0.333,0.889,24.082,65.613,942.218,06-11-2021 14:17,17.24924533,78.47341249,523.201
